200411080100,0.05
200411080200,0.0143
200411080300,0.0009
200411080400,0.0004
200411080500,0.0013
200411080600,0.0104
200411080700,0.0122
200411080800,0.0004
200411080900,0
200411081000,0.003
200411081100,0.0004
200411081200,0
200411081300,0.0013
200411081400,0.0096
200411081500,0.03
200411081600,0.0478
200411081700,0.0304
200411081800,0.0717
200411081900,0.1304
200411082000,0.0209
200411082100,0.0287
200411082200,0.0709
200411082300,0.0187
200411090000,0.0348
200411090100,0.0991
200411090200,0.2226
200411090300,0.2817
200411090400,0.4152
200411090500,0.533
200411090600,0.8322
200411090700,0.8787
200411090800,0.8465
200411090900,0.8261
200411091000,0.783
200411091100,0.4396
200411091200,0.4143
200411091300,0.5791
200411091400,0.6752
200411091500,0.5122
200411091600,0.6291
200411091700,0.5213
200411091800,0.4126
200411091900,0.293
200411092000,0.3613
200411092100,0.4839
200411092200,1.0548
200411092300,1.3083
200411100000,0.5843
