  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 20.96000000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
    9.4710       1.9140          38.7790       14.2500     1.390190    -0.3877900D+02    -0.1425000D+02    -0.1390190D+01
    9.4770       1.9200          39.3910       14.5000     1.388640    -0.3939100D+02    -0.1450000D+02    -0.1388640D+01
    8.6290       1.0720           5.7000       14.7500     1.001060    -0.5700000D+01    -0.1475000D+02    -0.1001060D+01
    8.6360       1.0790           5.7630       15.0000     1.002150    -0.5763000D+01    -0.1500000D+02    -0.1002150D+01
  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 20.97000000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
  --**.********-------**.********----**.********-------**.********-------**.********-------**.********----  ---**.********- -----**.********
    8.0950       0.4190           1.7140        0.5000     1.000000    -0.2605553D-01     0.0000000D+00     0.7081415D-04
    8.1610       0.4850           2.2210        0.7500     1.000000     0.9119254D-02     0.0000000D+00     0.3840781D-05
    8.2170       0.5410           2.6790        1.0000     1.000000     0.2343286D-01    -0.1948528D-01    -0.2715883D-04
    8.2660       0.5900           3.1050        1.2500     1.000000     0.1843122D-01     0.2381747D-02    -0.3940596D-04
    8.3090       0.6330           3.4910        1.5000     1.000000     0.6877811D-02     0.1461479D-01    -0.4145610D-04
    8.3470       0.6710           3.8270        1.7500     1.000000     0.5077277D-02     0.1376280D-01    -0.3819638D-04
    8.3820       0.7060           4.1450        2.0000     1.000000    -0.2785325D-02     0.6982135D-02    -0.3212297D-04
    8.4160       0.7400           4.4490        2.2500     1.000000    -0.3702115D-02     0.5293071D-02    -0.2427745D-04
    8.4480       0.7720           4.7410        2.5000     1.000000    -0.9078763D-02    -0.6335809D-03    -0.1581364D-04
    8.4790       0.8030           5.0230        2.7500     1.000000    -0.1236061D-01    -0.5001434D-02    -0.7152531D-05
    8.5100       0.8340           5.2970        3.0000     1.000000    -0.6796937D-02    -0.6979287D-03     0.1506643D-05
    8.5390       0.8630           5.5630        3.2500     1.000000    -0.1065828D-01    -0.5261822D-02     0.9252086D-05
    8.5680       0.8920           5.8210        3.5000     1.000000    -0.6063253D-02    -0.2820332D-02     0.1636330D-04
    8.5960       0.9200           6.0740        3.7500     1.000000    -0.5203671D-02    -0.2685421D-02     0.2239920D-04
    8.6230       0.9470           6.3200        4.0000     1.000000    -0.6207602D-02    -0.5747850D-02     0.2727344D-04
    8.6500       0.9740           6.5620        4.2500     1.000000    -0.3094625D-02    -0.3378324D-02     0.3108412D-04
