       Stat Kenn   Abfluss     Sohle     h_WSP       hen      h_BV    Boe_li    Boe_re     v_m  tau_fl      Q_li      Q_fl      Q_re lamb_li lamb_fl lamb_re      f_li      f_fl      f_re     br_li     br_fl     br_re    WehrOK  BrueckOK  BrueckUK   BrueckB    RohrDN   AlphaIW   AlphaEW    I_Reib
         km    -     m^3/s       mNN       mNN       mNN       mNN       mNN       mNN     m/s   N/m^2     m^3/s     m^3/s     m^3/s       -       -       -       m^2       m^2         m         m         m         m       mNN       mNN       mNN         m         m         -         -         -
    21.5530    n     0.750     8.004     8.387     8.394     9.305     9.305     9.475   0.366    1.49     0.000     0.750     0.000  0.0000  0.0888  0.0000     0.001     2.050     0.000     0.017     6.556     0.004  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.6800    n     0.750     8.056     8.490     8.496     9.446     9.460     9.446   0.334    1.53     0.000     0.750     0.000  0.0000  0.1095  0.0000     0.000     2.246     0.002     0.000     6.954     0.036  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.6850    n     0.750     7.968     8.450     8.456     8.292     9.469     8.292   0.346    1.60     0.000     0.750     0.000  0.0000  0.1066  0.0000     0.000     2.163     0.005     0.000     6.365     0.062  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.6870    n     0.750     8.064     8.522     8.528     9.379     9.497     9.379   0.340    1.56     0.000     0.750     0.000  0.0000  0.1080  0.0000     0.000     2.203     0.000     0.000     6.762     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.7780    n     0.750     7.647     8.346     8.354     9.264     9.264     9.737   0.392    1.87     0.000     0.750     0.000  0.0000  0.0976  0.0000     0.001     1.915     0.000     0.009     4.685     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    20.9600    n     1.000     7.557     8.225     8.234     9.409     9.409     9.558   0.406    1.71     0.000     1.000     0.000  0.0000  0.0827  0.0000     0.000     2.461     0.000     0.000     6.867     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    20.9700    n     1.000     7.676     8.217     8.224     9.556     9.556     9.677   0.373    1.53     0.000     1.000     0.000  0.0000  0.0876  0.0000     0.000     2.679     0.000     0.000     8.418     0.001  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    20.9770    n     1.000     7.451     8.109     8.119     9.152     9.152     9.473   0.442    1.91     0.000     1.000     0.000  0.0000  0.0782  0.0000     0.000     2.260     0.000     0.000     5.500     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.1140    n     1.000     7.750     8.192     8.200     8.740     8.740     9.277   0.410    1.73     0.000     1.000     0.000  0.0000  0.0822  0.0000     0.000     2.438     0.000     0.000     6.561     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.2570    n     1.000     7.731     8.218     8.227     9.007     9.007     9.326   0.438    1.86     0.000     0.992     0.009  0.0000  0.0755  0.1038     0.000     2.236     0.046     0.000     5.370     0.341  -999.999  -999.999  -999.999  -999.999  -999.999   1.00761   1.01829   0.00050
    21.4450    n     1.000     8.038     8.484     8.493     9.013     9.013     9.187   0.419    1.75     0.002     0.991     0.008  0.0985  0.0774  0.1022     0.018     2.328     0.041     0.085     5.778     0.251  -999.999  -999.999  -999.999  -999.999  -999.999   1.01033   1.02448   0.00050
    21.4500    n     1.000     8.010     8.424     8.433     9.126     9.126     9.126   0.400    1.67     0.000     1.000     0.000  0.0000  0.0836  0.0000     0.000     2.500     0.000     0.000     7.141     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.4530    n     1.000     7.995     8.429     8.438     9.161     9.161     9.184   0.415    1.75     0.000     1.000     0.000  0.0000  0.0816  0.0000     0.000     2.412     0.000     0.000     6.285     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.5530    n     1.000     8.004     8.446     8.454     9.305     9.305     9.475   0.411    1.73     0.000     1.000     0.000  0.0000  0.0821  0.0000     0.002     2.432     0.001     0.029     6.556     0.036  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.6800    n     1.000     8.056     8.550     8.557     9.446     9.460     9.446   0.375    1.78     0.000     1.000     0.000  0.0000  0.1005  0.0000     0.000     2.659     0.005     0.000     6.989     0.057  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.6850    n     1.000     7.968     8.514     8.522     8.292     9.469     8.292   0.387    1.85     0.000     1.000     0.000  0.0000  0.0982  0.0000     0.000     2.575     0.010     0.000     6.482     0.087  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.6870    n     1.000     8.064     8.584     8.591     9.379     9.497     9.379   0.380    1.80     0.000     1.000     0.000  0.0000  0.0997  0.0000     0.000     2.631     0.000     0.033     6.983     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.7780    n     1.000     7.647     8.431     8.440     9.264     9.264     9.737   0.430    2.12     0.000     1.000     0.000  0.0000  0.0913  0.0000     0.002     2.322     0.000     0.015     4.937     0.007  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    20.9600    n     1.250     7.557     8.284     8.294     9.409     9.409     9.558   0.434    1.86     0.000     1.250     0.000  0.0000  0.0791  0.0000     0.000     2.879     0.000     0.000     7.346     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    20.9700    n     1.250     7.676     8.266     8.274     9.556     9.556     9.677   0.403    1.69     0.000     1.250     0.000  0.0000  0.0832  0.0000     0.000     3.105     0.000     0.000     8.788     0.001  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    20.9770    n     1.250     7.451     8.170     8.182     9.152     9.152     9.473   0.480    2.13     0.000     1.250     0.000  0.0000  0.0741  0.0000     0.000     2.604     0.000     0.000     5.638     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.1140    n     1.250     7.750     8.246     8.256     8.740     8.740     9.277   0.447    1.94     0.000     1.250     0.000  0.0000  0.0776  0.0000     0.000     2.794     0.000     0.000     6.646     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.2570    n     1.250     7.731     8.277     8.289     9.007     9.007     9.326   0.477    2.08     0.000     1.237     0.015  0.0000  0.0710  0.1047     0.000     2.555     0.068     0.000     5.387     0.417  -999.999  -999.999  -999.999  -999.999  -999.999   1.00977   1.02356   0.00050
    21.4450    n     1.250     8.038     8.541     8.551     9.013     9.013     9.187   0.457    1.97     0.003     1.236     0.012  0.0985  0.0727  0.1027     0.023     2.658     0.056     0.097     5.778     0.295  -999.999  -999.999  -999.999  -999.999  -999.999   1.01240   1.02936   0.00050
    21.4500    n     1.250     8.010     8.475     8.485     9.126     9.126     9.126   0.436    1.88     0.000     1.250     0.000  0.0000  0.0789  0.0000     0.000     2.867     0.000     0.000     7.269     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.4530    n     1.250     7.995     8.485     8.495     9.161     9.161     9.184   0.452    1.97     0.000     1.250     0.000  0.0000  0.0770  0.0000     0.000     2.763     0.000     0.000     6.345     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.5530    n     1.250     8.004     8.499     8.509     9.305     9.305     9.475   0.448    1.95     0.000     1.250     0.000  0.0000  0.0773  0.0000     0.004     2.781     0.004     0.041     6.556     0.064  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.6800    n     1.250     8.056     8.603     8.612     9.446     9.460     9.446   0.411    2.00     0.000     1.250     0.000  0.0000  0.0942  0.0000     0.000     3.036     0.008     0.000     7.012     0.075  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.6850    n     1.250     7.968     8.570     8.580     8.292     9.469     8.292   0.423    2.08     0.000     1.248     0.002  0.0000  0.0922  0.0985     0.000     2.939     0.015     0.000     6.483     0.109  -999.999  -999.999  -999.999  -999.999  -999.999   1.00233   1.00543   0.00050
    21.6870    n     1.250     8.064     8.639     8.648     9.379     9.497     9.379   0.414    2.01     0.000     1.250     0.000  0.0000  0.0938  0.0000     0.006     3.016     0.000     0.164     7.091     0.001  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
    21.7780    n     1.250     7.647     8.500     8.511     9.264     9.264     9.737   0.468    2.37     0.000     1.250     0.000  0.0000  0.0861  0.0000     0.003     2.665     0.001     0.019     4.937     0.028  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00050
