22.08.95 12.00  0.4916
22.08.95 12.30  0.5088
22.08.95 13.00  0.5118
22.08.95 13.30  0.5133
22.08.95 14.00  0.5149
22.08.95 14.30  0.5166
22.08.95 15.00  0.5182
22.08.95 15.30  0.5
22.08.95 16.00  0.4478
22.08.95 16.30  0.4483
22.08.95 17.00  0.4488
22.08.95 17.30  0.4492
22.08.95 18.00  0.4497
22.08.95 18.30  0.4502
22.08.95 19.00  0.4506
22.08.95 19.30  0.4511
22.08.95 20.00  0.4515
22.08.95 20.30  0.452
22.08.95 21.00  0.4524
22.08.95 21.30  0.4529
22.08.95 22.00  0.4534
22.08.95 22.30  0.4539
22.08.95 23.00  0.4543
22.08.95 23.30  0.4548
23.08.95 00.00  0.4553
23.08.95 00.30  0.4557
23.08.95 01.00  0.4562
23.08.95 01.30  0.4566
23.08.95 02.00  0.4571
23.08.95 02.30  0.4575
23.08.95 03.00  0.458
23.08.95 03.30  0.4585
23.08.95 04.00  0.459
23.08.95 04.30  0.4594
23.08.95 05.00  0.4599
23.08.95 05.30  0.4604
23.08.95 06.00  0.4608
23.08.95 06.30  0.4613
23.08.95 07.00  0.4618
23.08.95 07.30  0.4622
23.08.95 08.00  0.4627
23.08.95 08.30  0.4631
23.08.95 09.00  0.4636
23.08.95 09.30  0.4641
23.08.95 10.00  0.4645
23.08.95 10.30  0.465
23.08.95 11.00  0.523
23.08.95 11.30  0.5236
23.08.95 12.00  0.5088
23.08.95 12.30  0.4939
23.08.95 13.00  0.4791
23.08.95 13.30  0.4645
23.08.95 14.00  0.4501
23.08.95 14.30  0.5066
23.08.95 15.00  0.5358
23.08.95 15.30  0.5323
23.08.95 16.00  0.5175
23.08.95 16.30  0.5026
23.08.95 17.00  0.4878
23.08.95 17.30  0.4728
23.08.95 18.00  0.4584
23.08.95 18.30  0.4439
23.08.95 19.00  0.4295
23.08.95 19.30  0.475
23.08.95 20.00  0.488
23.08.95 20.30  0.4527
23.08.95 21.00  0.405
23.08.95 21.30  0.4112
23.08.95 22.00  0.4175
23.08.95 22.30  0.4238
23.08.95 23.00  0.4301
23.08.95 23.30  0.4364
24.08.95 00.00  0.4917
24.08.95 00.30  0.4906
24.08.95 01.00  0.4895
24.08.95 01.30  0.4883
24.08.95 02.00  0.4872
24.08.95 02.30  0.4861
24.08.95 03.00  0.485
24.08.95 03.30  0.4839
24.08.95 04.00  0.4827
24.08.95 04.30  0.4816
24.08.95 05.00  0.4804
24.08.95 05.30  0.4794
24.08.95 06.00  0.4782
