06.06.1995  01:00   53                  
06.06.1995  04:00   52                  
06.06.1995  07:00   52                  
06.06.1995  10:00   52                  
06.06.1995  13:00   52                  
06.06.1995  16:00   51                  
06.06.1995  19:00   55                  
06.06.1995  22:00   56                  
07.06.1995  01:00   53                  
07.06.1995  04:00   57                  
07.06.1995  07:00   56                  
07.06.1995  10:00   56                  
07.06.1995  13:00   54                  
07.06.1995  16:00   54                  
07.06.1995  19:00   54                  
07.06.1995  22:00   54                  
08.06.1995  01:00   54                  
08.06.1995  04:00   54                  
08.06.1995  07:00   53                  
08.06.1995  10:00   53                  
08.06.1995  13:00   52                  
08.06.1995  16:00   52                  
08.06.1995  19:00   52                  
08.06.1995  22:00   51                  
09.06.1995  01:00   52                  
09.06.1995  04:00   51                  
09.06.1995  07:00   51                  
09.06.1995  10:00   52                  
09.06.1995  13:00   59                  
09.06.1995  16:00   66                  
09.06.1995  19:00   71                  
09.06.1995  22:00   87                  
10.06.1995  01:00   82                  
10.06.1995  04:00   78                  
10.06.1995  07:00   74                  
10.06.1995  10:00   72                  
10.06.1995  13:00   69                  
10.06.1995  16:00   67                  
10.06.1995  19:00   67                  
10.06.1995  22:00   67                  
11.06.1995  01:00   64                  
11.06.1995  04:00   63                  
11.06.1995  07:00   62                  
11.06.1995  10:00   63                  
11.06.1995  13:00   66                  
11.06.1995  16:00   73                  
11.06.1995  19:00   79                  
11.06.1995  22:00   78                  
12.06.1995  01:00   77                  
12.06.1995  04:00   76                  
12.06.1995  07:00   74                  
12.06.1995  10:00   71                  
12.06.1995  13:00   70                  
12.06.1995  16:00   71                  
12.06.1995  19:00   73                  
12.06.1995  22:00   73                  
13.06.1995  01:00   74                  
13.06.1995  04:00   86                  
13.06.1995  07:00   126                 
13.06.1995  10:00   189                 
13.06.1995  13:00   210                 
13.06.1995  16:00   221                 
13.06.1995  19:00   227                 
13.06.1995  22:00   244                 
14.06.1995  01:00   257                 
14.06.1995  04:00   258
14.06.1995  07:00   250                 
14.06.1995  10:00   237                 
14.06.1995  13:00   225                 
14.06.1995  16:00   214                 
14.06.1995  19:00   204                 
14.06.1995  22:00   186                 
15.06.1995  01:00   177                 
15.06.1995  04:00   168                 
15.06.1995  07:00   161                 
15.06.1995  10:00   157                 
15.06.1995  13:00   160                 
15.06.1995  16:00   172                 
15.06.1995  19:00   178                 
15.06.1995  22:00   174                 
16.06.1995  01:00   169                 
16.06.1995  04:00   163                 
16.06.1995  07:00   159                 
16.06.1995  10:00   154                 
16.06.1995  13:00   150                 
16.06.1995  16:00   145                 
16.06.1995  19:00   142                 
16.06.1995  22:00   138                 
17.06.1995  01:00   134                 
17.06.1995  04:00   134                 
17.06.1995  07:00   131                 
17.06.1995  10:00   127                 
17.06.1995  13:00   108                 
17.06.1995  16:00   120                 
17.06.1995  19:00   118                 
17.06.1995  22:00   114                 
18.06.1995  01:00   112                 
18.06.1995  04:00   110                 
18.06.1995  07:00   109                 
18.06.1995  10:00   112                 
18.06.1995  13:00   111                 
18.06.1995  16:00   109                 
18.06.1995  19:00   107                 
18.06.1995  22:00   105                 
