200411100100,0.0247,1
200411100200,0.0536,1
200411100300,0.0072,1
200411100400,0,1
200411100500,0,1
200411100600,0,1
200411100700,0,1
200411100800,0,1
200411100900,0,1
200411101000,0,1
200411101100,0,1
200411101200,0,1
200411101300,0,1
200411101400,0,1
200411101500,0,1
200411101600,0,1
200411101700,0,1
200411101800,0,1
200411101900,0,1
200411102000,0,1
200411102100,0,1
200411102200,0,1
200411102300,0.0146,1
200411110000,0.0439,1
200411110100,0.0041,1
200411110200,0.0022,1
200411110300,0.0105,1
200411110400,0.0314,1
200411110500,0.2028,1
200411110600,0.7126,1
200411110700,0.6818,1
200411110800,0.1749,1
200411110900,0.02,1
200411111000,0.0003,1
200411111100,0.0003,1
200411111200,0.0001,1
200411111300,0,1
200411111400,0,1
200411111500,0.0003,1
200411111600,0.0282,1
200411111700,0.0274,1
200411111800,0.0053,1
200411111900,0.0008,1
200411112000,0.0053,1
200411112100,0.0001,1
200411112200,0,1
200411112300,0,1
200411120000,0,1
