FLUSS_KM	RW	HW	HOEHE
44.425	3929961.663	775471.064	363.603
44.425	3929961.26	775471.1	363.706
44.425	3929960.842	775471.137	363.813
44.425	3929959.509	775471.254	364.242
44.425	3929959.096	775471.291	364.352
44.425	3929958.719	775471.324	364.452
44.425	3929957.363	775471.444	364.893
44.425	3929954.727	775471.676	364.95
44.425	3929954.351	775471.709	364.962
44.425	3929954.041	775471.736	364.971
44.425	3929951.338	775471.975	365.027
44.425	3929947.691	775472.296	365.183
44.425	3929947.406	775472.321	365.195
44.425	3929947.392	775472.322	365.196
44.425	3929947.378	775472.324	365.196
44.425	3929943.51	775472.665	365.352
44.425	3929941.439	775472.847	365.441
44.425	3929941.352	775472.855	365.444
44.425	3929940.182	775472.958	365.494
44.425	3929937.457	775473.198	365.611
44.425	3929937.175	775473.223	365.615
44.425	3929936.954	775473.243	365.619
44.425	3929936.825	775473.254	365.619
44.425	3929936.518	775473.281	365.618
44.425	3929932.356	775473.648	366.674
44.425	3929931.152	775473.754	366.98
44.425	3929929.089	775473.936	367.504
44.425	3929926.944	775474.125	367.327
44.425	3929926.749	775474.142	367.311
44.425	3929926.469	775474.167	367.288
44.425	3929924.11	775474.375	367.095
44.425	3929920.767	775474.67	367.05
44.425	3929917.761	775474.935	366.983
44.425	3929914.209	775475.248	366.904
44.425	3929911.438	775475.492	366.865
44.425	3929908.671	775475.736	366.788
44.425	3929904.325	775476.119	366.552
44.425	3929897.97	775476.679	366.207
44.425	3929897.326	775476.736	366.186
44.425	3929896.898	775476.774	366.188
44.425	3929895.896	775476.862	366.195
44.425	3929892.305	775477.179	366.659
44.425	3929888.025	775477.556	367.211
44.425	3929886.54	775477.687	367.403
44.425	3929882.344	775478.057	367.945
44.425	3929879.633	775478.296	368.637
44.425	3929876.676	775478.556	369.559
44.425	3929873.893	775478.802	370.427
44.5	3930120.19	775504.892	370.812
44.5	3930119.788	775505.032	370.807
44.5	3930118.969	775505.317	370.785
44.5	3930117.464	775505.842	370.773
44.5	3930116.014	775506.346	370.761
44.5	3930115.137	775506.652	370.74
44.5	3930114.682	775506.81	370.784
44.5	3930114.204	775506.977	370.83
44.5	3930112.817	775507.46	370.778
44.5	3930110.84	775508.148	370.634
44.5	3930108.953	775508.805	370.496
44.5	3930107.486	775509.316	370.453
44.5	3930105.106	775510.145	369.51
44.5	3930102.825	775510.939	368.628
44.5	3930100.755	775511.66	367.828
44.5	3930098.15	775512.567	366.794
44.5	3930094.733	775513.757	366.716
44.5	3930091.967	775514.72	366.675
44.5	3930089.295	775515.65	366.637
44.5	3930085.795	775516.869	366.555
44.5	3930083.774	775517.573	366.525
44.5	3930082.001	775518.19	366.518
44.5	3930080.266	775518.794	366.511
44.5	3930078.231	775519.503	366.481
44.5	3930076.055	775520.26	366.108
44.5	3930074.459	775520.817	365.804
44.5	3930072.807	775521.392	365.489
44.5	3930070.674	775522.135	365.122
44.5	3930066.709	775523.515	365.121
44.5	3930063.828	775524.518	365.138
44.5	3930060.983	775525.509	365.155
44.5	3930056.982	775526.902	365.155
44.5	3930054.298	775527.837	365.149
44.5	3930051.552	775528.793	365.138
44.5	3930046.889	775530.417	365.118
44.5	3930046.303	775530.621	365.118
44.5	3930046.03	775530.716	365.118
44.5	3930045.623	775530.857	365.117
44.5	3930040.463	775532.654	365.118
44.5	3930035.685	775534.318	365.119
44.5	3930034.899	775534.592	365.116
44.5	3930034.577	775534.704	365.05
44.5	3930032.723	775535.35	364.652
44.5	3930030.953	775535.966	364.273
44.5	3930030.543	775536.108	364.189
44.5	3930030.295	775536.195	364.055
44.5	3930029.1	775536.611	363.468
44.5	3930027.908	775537.026	362.883
44.5	3930027.657	775537.114	362.747
44.5	3930027.476	775537.177	362.67
44.5	3930026.659	775537.461	362.348
44.5	3930025.859	775537.74	362.033
44.5	3930025.662	775537.808	361.949
44.5	3930025.052	775538.021	361.929
44.5	3930022.565	775538.887	361.87
44.5	3930020.029	775539.77	361.81
44.5	3930019.466	775539.966	361.792
44.5	3930018.756	775540.213	361.798
44.5	3930015.679	775541.284	361.827
44.5	3930012.548	775542.375	361.856
44.5	3930011.893	775542.603	361.862
44.5	3930011.187	775542.849	361.861
44.5	3930007.718	775544.056	361.848
44.5	3930004.202	775545.281	361.834
44.5	3930003.543	775545.51	361.833
44.5	3930003.074	775545.674	361.837
44.5	3930000.609	775546.532	361.846
44.5	3929998.113	775547.401	361.855
44.5	3929997.676	775547.553	361.859
44.5	3929997.494	775547.617	361.943
44.5	3929996.496	775547.964	362.441
44.5	3929995.489	775548.315	362.944
44.5	3929995.317	775548.375	363.024
44.5	3929995.002	775548.484	363.102
44.5	3929993.041	775549.167	363.591
44.5	3929990.935	775549.901	364.117
44.5	3929990.77	775549.958	364.158
44.5	3929990.633	775550.006	364.205
44.5	3929988.492	775550.751	364.876
44.5	3929988.114	775550.883	364.994
44.5	3929986.323	775551.507	365.554
44.5	3929986.181	775551.556	365.596
44.5	3929985.97	775551.63	365.601
44.5	3929982.921	775552.691	365.643
44.5	3929980.448	775553.552	365.678
44.5	3929979.642	775553.833	365.698
44.5	3929978.463	775554.244	365.712
44.5	3929975.77	775555.181	365.754
44.5	3929973.69	775555.906	365.786
44.5	3929971.889	775556.533	365.806
44.5	3929968.66	775557.657	365.795
44.5	3929966.98	775558.242	365.797
44.5	3929965.755	775558.669	365.798
44.5	3929962.01	775559.973	365.777
44.5	3929959.59	775560.815	365.765
44.5	3929957.604	775561.507	365.755
44.5	3929957.174	775561.657	365.754
44.5	3929956.408	775561.924	365.752
44.5	3929952.313	775563.349	365.737
44.5	3929948.912	775564.534	365.741
44.5	3929945.92	775565.576	365.744
44.5	3929940.623	775567.42	365.749
44.5	3929940.016	775567.631	365.692
44.5	3929939.505	775567.809	365.645
44.5	3929935.532	775569.193	365.306
44.5	3929933.024	775570.066	365.096
44.5	3929932.668	775570.19	365.066
44.5	3929932.262	775570.332	365.028
44.5	3929926.504	775572.336	364.483
44.5	3929925.681	775572.623	364.406
44.5	3929924.865	775572.907	364.33
44.5	3929919.235	775574.868	363.961
44.5	3929915.491	775576.171	363.716
44.5	3929912.072	775577.362	363.463
44.5	3929909.83	775578.143	363.636
44.5	3929908.978	775578.439	363.702
44.5	3929906.88	775579.17	363.864
44.5	3929904.87	775579.87	364.019
44.5	3929904.245	775580.088	364.21
44.5	3929903.823	775580.234	364.338
44.5	3929903.496	775580.348	364.484
44.5	3929902.111	775580.83	365.108
44.5	3929901.325	775581.104	365.463
44.5	3929900.389	775581.43	365.877
44.5	3929898.08	775582.234	365.899
44.5	3929895.845	775583.012	365.921
44.5	3929891.393	775584.563	365.963
44.5	3929889.949	775585.066	365.977
44.5	3929889.128	775585.351	365.985
44.5	3929888.412	775585.601	365.992
44.5	3929883.959	775587.151	366.031
44.5	3929878.55	775589.035	366.079
44.5	3929878.446	775589.071	366.08
44.5	3929878.41	775589.084	366.08
44.5	3929878.371	775589.097	366.08
44.5	3929878.34	775589.108	366.079
44.5	3929878.292	775589.124	366.079
44.5	3929878.108	775589.189	366.081
44.5	3929873.77	775590.699	366.126
44.5	3929871.552	775591.472	366.15
44.5	3929870.128	775591.967	366.164
44.5	3929868.88	775592.402	366.739
44.5	3929867.456	775592.898	367.444
44.5	3929865.688	775593.514	368.319
44.5	3929864.799	775593.823	368.722
44.5	3929864.179	775594.039	368.712
44.5	3929862.714	775594.549	368.687
44.5	3929861.645	775594.921	368.668
44.5	3929860.418	775595.349	368.646
44.5	3929860.305	775595.388	368.644
44.5	3929860.213	775595.42	368.585
44.5	3929859.935	775595.517	368.315
44.5	3929855.832	775596.945	367.78
44.5	3929855.424	775597.088	367.727
44.5	3929855.181	775597.172	367.709
44.5	3929854.644	775597.359	367.667
44.5	3929850.963	775598.641	367.318
44.5	3929849.69	775599.084	367.184
44.5	3929847.706	775599.775	366.97
44.5	3929846.327	775600.255	366.971
44.5	3929842.313	775601.653	366.974
44.5	3929841.76	775601.846	366.975
44.5	3929840.347	775602.338	366.975
44.5	3929834.482	775604.38	366.975
44.5	3929830.419	775605.795	366.975
44.5	3929827.25	775606.898	366.975
44.5	3929820.002	775609.422	366.975
44.5	3929819.208	775609.698	366.975
44.5	3929818.704	775609.874	366.975
44.5	3929817.79	775610.192	366.975
44.5	3929810.508	775612.728	366.975
44.5	3929808.861	775613.301	367.702
44.5	3929805.908	775614.33	368.988
44.6	3930168.313	775591.368	371.111
44.6	3930167.814	775591.551	370.937
44.6	3930163.331	775593.19	369.423
44.6	3930158.462	775594.971	367.779
44.6	3930158.342	775595.015	367.737
44.6	3930158.3	775595.03	367.737
44.6	3930156.456	775595.705	367.715
44.6	3930154.605	775596.381	367.694
44.6	3930154.569	775596.394	367.693
44.6	3930154.512	775596.415	367.685
44.6	3930151.691	775597.447	367.242
44.6	3930148.823	775598.496	366.792
44.6	3930148.813	775598.499	366.791
44.6	3930148.813	775598.499	366.791
44.6	3930148.813	775598.5	366.791
44.6	3930145.747	775599.621	366.815
44.6	3930142.786	775600.703	366.839
44.6	3930142.66	775600.75	366.839
44.6	3930142.398	775600.845	366.843
44.6	3930134.26	775603.821	366.944
44.6	3930125.969	775606.853	367.047
44.6	3930125.841	775606.9	367.049
44.6	3930125.728	775606.942	367.05
44.6	3930118.876	775609.447	367.108
44.6	3930112.037	775611.948	367.167
44.6	3930111.913	775611.994	367.168
44.6	3930111.832	775612.023	367.148
44.6	3930107.59	775613.574	366.168
44.6	3930103.375	775615.116	365.195
44.6	3930103.269	775615.155	365.168
44.6	3930103.073	775615.226	365.168
44.6	3930096.02	775617.805	365.151
44.6	3930088.941	775620.394	365.134
44.6	3930088.772	775620.456	365.134
44.6	3930088.64	775620.504	365.133
44.6	3930082.925	775622.594	365.097
44.6	3930077.226	775624.678	365.06
44.6	3930077.078	775624.732	365.06
44.6	3930076.984	775624.767	365.06
44.6	3930076.802	775624.833	365.059
44.6	3930076.529	775624.933	365.057
44.6	3930071.517	775626.766	365.028
44.6	3930066.634	775628.552	364.999
44.6	3930066.278	775628.682	364.997
44.6	3930066.121	775628.739	364.922
44.6	3930063.712	775629.621	363.881
44.6	3930061.275	775630.512	362.829
44.6	3930061.143	775630.56	362.766
44.6	3930061.06	775630.59	362.731
44.6	3930059.702	775631.087	362.126
44.6	3930058.346	775631.583	361.521
44.6	3930058.262	775631.613	361.486
44.6	3930058.116	775631.667	361.466
44.6	3930055.814	775632.508	361.113
44.6	3930053.522	775633.347	360.762
44.6	3930053.367	775633.404	360.74
44.6	3930053.106	775633.499	360.74
44.6	3930049.13	775634.953	360.74
44.6	3930045.208	775636.387	360.741
44.6	3930044.893	775636.502	360.741
44.6	3930044.614	775636.604	360.746
44.6	3930041.18	775637.86	360.825
44.6	3930037.797	775639.097	360.903
44.6	3930037.464	775639.219	360.909
44.6	3930037.156	775639.331	360.927
44.6	3930033.951	775640.504	361.12
44.6	3930030.772	775641.666	361.313
44.6	3930030.437	775641.789	361.331
44.6	3930030.241	775641.86	361.396
44.6	3930028.331	775642.559	362.036
44.6	3930026.443	775643.249	362.668
44.6	3930026.443	775643.249	362.668
44.6	3930026.225	775643.329	362.739
44.6	3930026.225	775643.329	362.739
44.6	3930026.225	775643.329	362.739
44.6	3930026.143	775643.359	362.815
44.6	3930026.143	775643.359	362.815
44.6	3930026.143	775643.359	362.815
44.6	3930025.347	775643.65	363.499
44.6	3930025.347	775643.65	363.499
44.6	3930025.347	775643.65	363.499
44.6	3930024.519	775643.953	364.211
44.6	3930024.519	775643.953	364.211
44.6	3930024.519	775643.953	364.211
44.6	3930024.465	775643.973	364.26
44.6	3930024.465	775643.973	364.26
44.6	3930024.465	775643.973	364.26
44.6	3930024.403	775643.995	364.286
44.6	3930024.403	775643.995	364.286
44.6	3930024.403	775643.995	364.286
44.6	3930023.519	775644.319	364.63
44.6	3930023.519	775644.319	364.63
44.6	3930023.519	775644.319	364.63
44.6	3930022.594	775644.657	364.99
44.6	3930022.594	775644.657	364.99
44.6	3930022.594	775644.657	364.99
44.6	3930022.574	775644.664	364.999
44.6	3930022.574	775644.664	364.999
44.6	3930022.574	775644.664	364.999
44.6	3930022.515	775644.686	365
44.6	3930022.514	775644.686	365
44.6	3930022.514	775644.686	365
44.6	3930019.716	775645.709	365.03
44.6	3930019.716	775645.709	365.03
44.6	3930016.88	775646.746	365.06
44.6	3930016.856	775646.755	365.06
44.6	3930016.833	775646.763	365.061
44.6	3930014.874	775647.48	365.082
44.6	3930014.071	775647.774	365.09
44.6	3930011.327	775648.777	365.119
44.6	3930011.287	775648.792	365.119
44.6	3930011.246	775648.807	365.12
44.6	3930008.297	775649.885	365.15
44.6	3930005.427	775650.935	365.179
44.6	3930005.313	775650.976	365.181
44.6	3930005.025	775651.082	365.297
44.6	3929998.307	775653.538	368.034
44.6	3929992.419	775655.692	370.432
44.6	3929991.327	775656.091	370.876
44.6	3929991.3	775656.101	370.887
44.7	3930210.486	775682.289	371.104
44.7	3930207.751	775683.281	370.099
44.7	3930205.232	775684.195	369.149
44.7	3930202.586	775685.155	368.151
44.7	3930199.996	775686.095	367.198
44.7	3930199.025	775686.448	367.183
44.7	3930197.827	775686.882	367.162
44.7	3930196.622	775687.319	367.141
44.7	3930195.656	775687.67	367.126
44.7	3930194.7	775688.017	366.993
44.7	3930193.551	775688.434	366.843
44.7	3930192.406	775688.849	366.693
44.7	3930191.446	775689.197	366.56
44.7	3930187.825	775690.511	366.563
44.7	3930183.41	775692.113	366.562
44.7	3930178.622	775693.851	366.56
44.7	3930175.402	775695.019	366.562
44.7	3930172.32	775696.137	366.563
44.7	3930166.981	775698.074	366.561
44.7	3930161.277	775700.144	366.559
44.7	3930158.571	775701.126	366.559
44.7	3930155.878	775702.103	366.55
44.7	3930149.498	775704.418	366.517
44.7	3930142.685	775706.89	366.483
44.7	3930140.431	775707.708	366.475
44.7	3930139.255	775708.135	366.322
44.7	3930135.246	775709.589	365.789
44.7	3930131.151	775711.075	365.245
44.7	3930130.057	775711.472	365.102
44.7	3930129.173	775711.793	365.105
44.7	3930126.091	775712.911	365.111
44.7	3930123.077	775714.005	365.116
44.7	3930122.122	775714.351	365.119
44.7	3930120.818	775714.824	365.115
44.7	3930116.046	775716.556	365.065
44.7	3930110.785	775718.465	365.009
44.7	3930109.949	775718.768	365.006
44.7	3930109.424	775718.959	365.002
44.7	3930108.433	775719.318	364.994
44.7	3930107.088	775719.806	364.997
44.7	3930103.5	775721.108	365.006
44.7	3930099.321	775722.624	365.016
44.7	3930098.31	775722.991	365.018
44.7	3930097.89	775723.143	364.815
44.7	3930095.689	775723.942	363.78
44.7	3930093.364	775724.786	362.687
44.7	3930093.067	775724.894	362.544
44.7	3930092.917	775724.948	362.45
44.7	3930091.727	775725.38	361.689
44.7	3930090.544	775725.809	360.932
44.7	3930090.388	775725.866	360.834
44.7	3930090.138	775725.956	360.773
44.7	3930088.246	775726.643	360.296
44.7	3930086.386	775727.318	359.828
44.7	3930086.103	775727.421	359.759
44.7	3930085.618	775727.597	359.757
44.7	3930082.277	775728.809	359.744
44.7	3930078.982	775730.004	359.73
44.7	3930078.452	775730.197	359.728
44.7	3930077.993	775730.363	359.74
44.7	3930075.12	775731.405	359.825
44.7	3930072.289	775732.433	359.908
44.7	3930071.788	775732.614	359.922
44.7	3930071.374	775732.765	359.978
44.7	3930068.884	775733.668	360.297
44.7	3930066.434	775734.557	360.612
44.7	3930065.981	775734.722	360.673
44.7	3930065.697	775734.825	360.794
44.7	3930064.125	775735.395	361.457
44.7	3930062.563	775735.962	362.117
44.7	3930062.27	775736.068	362.242
44.7	3930061.962	775736.18	362.417
44.7	3930060.407	775736.744	363.325
44.7	3930058.806	775737.325	364.261
44.7	3930058.546	775737.419	364.408
44.7	3930058.413	775737.467	364.435
44.7	3930057.583	775737.769	364.571
44.7	3930056.739	775738.075	364.709
44.7	3930056.621	775738.118	364.733
44.7	3930056.189	775738.274	364.734
44.7	3930052.529	775739.603	364.742
44.7	3930048.605	775741.026	364.751
44.7	3930048.412	775741.096	364.752
44.7	3930048.351	775741.118	364.766
44.7	3930047.132	775741.561	365.103
44.7	3930045.89	775742.012	365.445
44.7	3930045.851	775742.025	365.454
44.7	3930045.794	775742.046	365.456
44.7	3930044.144	775742.645	365.519
44.7	3930042.446	775743.261	365.584
44.7	3930042.443	775743.262	365.584
44.7	3930042.431	775743.266	365.589
44.7	3930042.023	775743.415	365.738
44.7	3930035.425	775745.809	368.154
44.7	3930028.842	775748.197	370.565
44.7	3930028.407	775748.355	370.721
44.8	3930249.569	775769.23	371.149
44.8	3930245.12	775771.01	369.601
44.8	3930243.843	775771.521	369.201
44.8	3930242.635	775772.004	368.822
44.8	3930238.131	775773.807	367.253
44.8	3930234.947	775775.081	367.18
44.8	3930234.482	775775.267	367.172
44.8	3930234.052	775775.439	367.165
44.8	3930230.787	775776.745	367.088
44.8	3930226.687	775778.385	367.014
44.8	3930226.305	775778.538	367.008
44.8	3930225.924	775778.691	367.001
44.8	3930221.823	775780.332	366.928
44.8	3930215.293	775782.944	366.813
44.8	3930215.016	775783.055	366.808
44.8	3930214.99	775783.065	366.807
44.8	3930214.957	775783.079	366.807
44.8	3930208.174	775785.792	366.687
44.8	3930200.487	775788.868	366.559
44.8	3930200.207	775788.98	366.556
44.8	3930199.99	775789.067	366.553
44.8	3930196.656	775790.401	366.495
44.8	3930192.253	775792.163	366.417
44.8	3930190.259	775792.96	366.402
44.8	3930188.52	775793.656	366.388
44.8	3930188.061	775793.84	366.385
44.8	3930185.919	775794.697	366.272
44.8	3930185.101	775795.024	366.229
44.8	3930182.606	775796.022	366.097
44.8	3930181.615	775796.419	366.076
44.8	3930180.837	775796.73	366.06
44.8	3930179.686	775797.191	366.006
44.8	3930178.3	775797.745	365.942
44.8	3930174.714	775799.18	365.874
44.8	3930173.645	775799.608	365.854
44.8	3930170.712	775800.782	365.798
44.8	3930167.815	775801.94	365.482
44.8	3930167.241	775802.17	365.424
44.8	3930166.486	775802.472	365.349
44.8	3930163.66	775803.603	365.045
44.8	3930162.201	775804.186	365.046
44.8	3930160.702	775804.786	365.047
44.8	3930159.251	775805.367	365.049
44.8	3930157.886	775805.913	365.05
44.8	3930156.374	775806.518	365.053
44.8	3930154.382	775807.315	365.056
44.8	3930152.752	775807.967	365.058
44.8	3930150.027	775809.057	365.05
44.8	3930148.399	775809.709	365.052
44.8	3930146.81	775810.344	365.054
44.8	3930144.038	775811.453	365.045
44.8	3930141.923	775812.3	365.039
44.8	3930139.396	775813.311	365.031
44.8	3930137.682	775813.996	365.025
44.8	3930135.786	775814.755	365.022
44.8	3930133.908	775815.507	365.02
44.8	3930131.636	775816.416	363.956
44.8	3930130.771	775816.762	363.565
44.8	3930129.883	775817.117	363.163
44.8	3930127.633	775818.017	362.111
44.8	3930126.691	775818.394	361.566
44.8	3930126.304	775818.549	361.353
44.8	3930125.922	775818.702	361.142
44.8	3930124.976	775819.08	360.594
44.8	3930123.121	775819.822	360.24
44.8	3930122.418	775820.104	360.109
44.8	3930121.735	775820.377	359.982
44.8	3930119.861	775821.127	359.624
44.8	3930117.239	775822.176	359.614
44.8	3930116.399	775822.512	359.612
44.8	3930115.585	775822.838	359.61
44.8	3930112.938	775823.897	359.599
44.8	3930109.956	775825.09	359.612
44.8	3930109.151	775825.412	359.613
44.8	3930108.381	775825.72	359.615
44.8	3930105.366	775826.926	359.627
44.8	3930103.727	775827.582	359.986
44.8	3930103.377	775827.722	360.066
44.8	3930103.032	775827.86	360.145
44.8	3930101.386	775828.519	360.505
44.8	3930101.386	775828.519	360.505
44.8	3930100.565	775828.848	361.019
44.8	3930100.565	775828.848	361.019
44.8	3930100.565	775828.848	361.019
44.8	3930100.407	775828.911	361.115
44.8	3930100.407	775828.911	361.115
44.8	3930100.25	775828.973	361.211
44.8	3930099.427	775829.303	361.726
44.8	3930096.75	775830.374	362.797
44.8	3930096.266	775830.568	363.009
44.8	3930095.786	775830.759	363.22
44.8	3930093.105	775831.832	364.292
44.8	3930092.383	775832.121	364.512
44.8	3930092.244	775832.177	364.555
44.8	3930092.105	775832.232	364.598
44.8	3930091.383	775832.521	364.817
44.8	3930089.089	775833.439	364.929
44.8	3930088.624	775833.625	364.95
44.8	3930088.159	775833.811	364.971
44.8	3930085.865	775834.729	365.082
44.8	3930083.477	775835.685	365.216
44.8	3930083	775835.875	365.244
44.8	3930082.523	775836.066	365.272
44.8	3930080.134	775837.022	365.405
44.8	3930074.442	775839.3	367.667
44.8	3930073.21	775839.792	368.156
44.8	3930071.874	775840.327	368.688
44.9	3930281.125	775853.706	371.277
44.9	3930280.482	775854.011	371.01
44.9	3930275.791	775856.239	369.107
44.9	3930271.57	775858.243	367.394
44.9	3930270.454	775858.773	366.929
44.9	3930268.459	775859.72	366.872
44.9	3930261.355	775863.092	366.696
44.9	3930254.593	775866.303	366.528
44.9	3930252.28	775867.401	366.461
44.9	3930250.595	775868.201	366.434
44.9	3930247.152	775869.835	366.377
44.9	3930243.933	775871.364	366.324
44.9	3930242.138	775872.216	366.295
44.9	3930240.43	775873.027	366.245
44.9	3930238.594	775873.899	366.191
44.9	3930236.278	775874.998	366.152
44.9	3930233.034	775876.538	366.098
44.9	3930229.989	775877.984	366.047
44.9	3930227.59	775879.123	366.006
44.9	3930223.823	775880.911	365.96
44.9	3930217.895	775883.726	365.862
44.9	3930212.261	775886.4	365.768
44.9	3930208.202	775888.327	365.72
44.9	3930206.927	775888.933	365.699
44.9	3930206.027	775889.36	365.684
44.9	3930205.185	775889.76	365.67
44.9	3930203.901	775890.37	365.649
44.9	3930202.461	775891.053	365.363
44.9	3930200.801	775891.841	365.084
44.9	3930199.215	775892.594	364.818
44.9	3930197.713	775893.307	364.518
44.9	3930195.095	775894.55	364.557
44.9	3930193.262	775895.42	364.567
44.9	3930191.454	775896.279	364.577
44.9	3930188.78	775897.548	364.617
44.9	3930186.686	775898.542	364.643
44.9	3930185.146	775899.273	364.655
44.9	3930183.652	775899.983	364.666
44.9	3930181.501	775901.004	364.693
44.9	3930179.045	775902.17	364.719
44.9	3930175.817	775903.702	364.753
44.9	3930173.778	775904.671	364.774
44.9	3930171.608	775905.701	364.795
44.9	3930169.55	775906.678	364.815
44.9	3930167.834	775907.492	363.962
44.9	3930167.144	775907.82	363.591
44.9	3930166.425	775908.161	363.204
44.9	3930164.744	775908.96	362.366
44.9	3930163.942	775909.34	361.915
44.9	3930163.554	775909.525	361.693
44.9	3930163.156	775909.714	361.466
44.9	3930162.364	775910.089	361.021
44.9	3930161.045	775910.716	360.731
44.9	3930160.359	775911.041	360.576
44.9	3930159.656	775911.375	360.417
44.9	3930158.356	775911.993	360.131
44.9	3930155.879	775913.168	360.088
44.9	3930154.338	775913.9	360.059
44.9	3930152.677	775914.689	360.028
44.9	3930150.319	775915.808	359.986
44.9	3930148.177	775916.825	360.045
44.9	3930146.503	775917.619	360.094
44.9	3930144.72	775918.466	360.146
44.9	3930142.688	775919.431	360.201
44.9	3930141.141	775920.165	360.377
44.9	3930139.622	775920.886	360.542
44.9	3930138.013	775921.65	360.716
44.9	3930136.553	775922.344	360.882
44.9	3930135.79	775922.706	361.246
44.9	3930134.894	775923.131	361.673
44.9	3930133.975	775923.567	362.109
44.9	3930133.975	775923.567	362.109
44.9	3930133.233	775923.919	362.464
44.9	3930133.233	775923.92	362.464
44.9	3930133.233	775923.919	362.464
44.9	3930132.07	775924.472	362.892
44.9	3930132.07	775924.472	362.892
44.9	3930130.419	775925.256	363.435
44.9	3930128.654	775926.094	364.015
44.9	3930127.59	775926.599	364.403
44.9	3930126.724	775927.01	364.455
44.9	3930125.202	775927.733	364.515
44.9	3930123.554	775928.515	364.581
44.9	3930122.81	775928.868	364.624
44.9	3930122.504	775929.013	364.709
44.9	3930121.809	775929.343	364.911
44.9	3930121.094	775929.683	365.119
44.9	3930120.809	775929.818	365.198
44.9	3930120.063	775930.172	365.222
44.9	3930118.122	775931.094	365.287
44.9	3930116.037	775932.084	365.357
44.9	3930115.439	775932.367	365.375
44.9	3930114.213	775932.95	365.884
44.9	3930109.073	775935.39	368.023
44.9	3930103.056	775938.246	370.527
44.9	3930102.742	775938.396	370.658
44.9	3930102.701	775938.415	370.675
45	3930303.802	775945.11	371.603
45	3930302.747	775945.702	371.055
45	3930298.778	775947.933	369.125
45	3930293.96	775950.642	366.783
45	3930293.727	775950.773	366.663
45	3930293.424	775950.943	366.65
45	3930290.199	775952.756	366.545
45	3930286.605	775954.777	366.428
45	3930280.231	775958.36	366.221
45	3930279.585	775958.723	366.204
45	3930278.77	775959.181	366.186
45	3930272.497	775962.708	366.018
45	3930267.145	775965.716	365.875
45	3930265.532	775966.623	365.842
45	3930263.995	775967.487	365.807
45	3930259.49	775970.02	365.685
45	3930255.638	775972.185	365.581
45	3930253.633	775973.312	365.537
45	3930252.662	775973.858	365.525
45	3930251.616	775974.446	365.512
45	3930250.086	775975.306	365.249
45	3930248.278	775976.322	364.938
45	3930246.595	775977.269	364.648
45	3930244.955	775978.191	364.367
45	3930241.829	775979.948	364.422
45	3930239.065	775981.502	364.459
45	3930236.788	775982.782	364.49
45	3930233.399	775984.687	364.553
45	3930229.956	775986.622	364.591
45	3930228.716	775987.32	364.606
45	3930227.568	775987.965	364.621
45	3930224.057	775989.939	364.659
45	3930220.311	775992.044	364.691
45	3930219.214	775992.661	364.7
45	3930212.084	775996.669	364.761
45	3930211.238	775997.145	364.768
45	3930211.159	775997.189	364.769
45	3930211.064	775997.243	364.77
45	3930211.008	775997.274	364.729
45	3930209.502	775998.121	363.61
45	3930208.049	775998.938	362.53
45	3930207.94	775998.999	362.449
45	3930207.877	775999.034	362.392
45	3930207.073	775999.486	361.635
45	3930206.287	775999.928	360.896
45	3930206.207	775999.973	360.821
45	3930206.033	776000.071	360.774
45	3930204.445	776000.964	360.338
45	3930202.934	776001.813	359.923
45	3930202.681	776001.955	359.854
45	3930202.23	776002.209	359.856
45	3930199.658	776003.655	359.856
45	3930197.313	776004.973	359.856
45	3930196.638	776005.352	359.858
45	3930195.875	776005.781	359.908
45	3930193.549	776007.089	360.055
45	3930191.431	776008.28	360.189
45	3930190.46	776008.825	360.252
45	3930189.773	776009.212	360.398
45	3930188.377	776009.996	360.674
45	3930187.065	776010.734	360.934
45	3930186.299	776011.164	361.097
45	3930185.648	776011.53	361.462
45	3930184.682	776012.073	362.026
45	3930183.757	776012.593	362.565
45	3930183.064	776012.983	362.953
45	3930181.849	776013.666	363.343
45	3930180.373	776014.496	363.804
45	3930179.022	776015.255	364.227
45	3930177.688	776016.005	364.656
45	3930175.959	776016.977	364.65
45	3930174.641	776017.718	364.647
45	3930173.452	776018.386	364.646
45	3930171.578	776019.44	364.638
45	3930170.711	776019.928	364.524
45	3930170.234	776020.195	364.466
45	3930169.777	776020.452	364.41
45	3930168.891	776020.95	364.293
45	3930167.564	776021.696	364.279
45	3930167.04	776021.991	364.274
45	3930166.547	776022.268	364.269
45	3930165.181	776023.036	364.255
45	3930163.83	776023.796	364.272
45	3930163.505	776023.978	364.273
45	3930163.19	776024.155	364.273
45	3930161.807	776024.933	364.291
45	3930160.301	776025.779	364.608
45	3930159.986	776025.956	364.676
45	3930159.694	776026.121	364.738
45	3930158.169	776026.978	365.059
45	3930154.761	776028.894	365.199
45	3930154.518	776029.03	365.208
45	3930154.307	776029.149	365.216
45	3930151.194	776030.899	365.346
45	3930150.89	776031.07	365.358
45	3930148.098	776032.639	365.491
45	3930147.926	776032.736	365.499
45	3930147.73	776032.846	365.508
45	3930144.938	776034.416	365.64
45	3930140.092	776037.14	367.59
45	3930138.268	776038.166	368.321
45	3930135.454	776039.747	369.449
45.1	3930324.431	776068.626	371.585
45.1	3930319.661	776070.154	369.694
45.1	3930317.527	776070.838	368.734
