  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 41.72000000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
  368.4740       6.4410         462.4340      321.0000     1.135980    -0.3705137D+01    -0.1058115D+01     0.1980382D-02
  368.6200       6.5870         482.2290      341.0000     1.131360    -0.2778126D+01    -0.1062514D+01     0.1241857D-02
  368.7630       6.7300         501.4900      361.0000     1.127210    -0.1655096D+01    -0.8775099D+00     0.4765017D-03
  368.9020       6.8690         520.2860      381.0000     1.123490    -0.5957057D+00    -0.7053927D+00    -0.2053691D-03
  369.0370       7.0040         538.6470      401.0000     1.120150     0.3266621D+00    -0.6109352D+00    -0.7465780D-03
  369.1700       7.1370         556.6090      421.0000     1.117130     0.1322905D+01    -0.3478820D+00    -0.1148553D-02
  369.3000       7.2670         574.2100      441.0000     1.114410     0.2177031D+01    -0.1130952D+00    -0.1380801D-02
  369.4280       7.3950         591.4640      461.0000     1.111980     0.2984445D+01     0.2057615D+00    -0.1484220D-02
  369.5530       7.5200         608.4020      481.0000     1.109760     0.3543764D+01     0.4082224D+00    -0.1397622D-02
  369.6760       7.6430         625.0400      501.0000     1.107750     0.3952605D+01     0.6156353D+00    -0.1185116D-02
  369.7970       7.7640         641.4030      521.0000     1.105910     0.4160312D+01     0.7931759D+00    -0.8567685D-03
  369.9160       7.8830         657.5100      541.0000     1.104230     0.4124553D+01     0.9071836D+00    -0.4583106D-03
  370.0330       8.0000         673.3690      561.0000     1.102680     0.3816316D+01     0.9252400D+00    -0.1974458D-04
  370.1480       8.1150         688.9950      581.0000     1.101270     0.3201911D+01     0.8162376D+00     0.3859373D-03
  370.2620       8.2290         704.4050      601.0000     1.099970     0.2374494D+01     0.7258579D+00     0.7153295D-03
  370.3750       8.3420         719.6060      621.0000     1.098780     0.1304081D+01     0.6299614D+00     0.9008460D-03
  370.4850       8.4520         734.6120      641.0000     1.097680    -0.2860528D+00     0.1486616D+00     0.9125082D-03
  370.5950       8.5620         749.4290      661.0000     1.096670    -0.2051709D+01    -0.2104519D+00     0.6502466D-03
  370.7030       8.6700         764.0690      681.0000     1.095740    -0.4261167D+01    -0.8265579D+00     0.7411242D-04
  370.8050       8.7720         777.8180      700.0000     1.094920    -0.6645232D+01    -0.1445665D+01    -0.8369117D-03
  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 41.74500000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
  --**.********-------**.********----**.********-------**.********-------**.********-------**.********----  ---**.********- -----**.********
  362.5740       0.5410           6.4840        1.0000     1.000000     0.3289085D+01    -0.9869421D-02    -0.4329870D-14
  364.1640       2.1310          47.9400       21.0000     1.000000    -0.1360641D+02     0.8797487D+00     0.2153833D-13
  365.0550       3.0220          79.6500       41.0000     1.000000    -0.2873485D+01    -0.1668882D+01    -0.3130829D-13
  365.6360       3.6030         107.7430       61.0000     1.029540     0.9614356D+01    -0.1397478D+01     0.1465494D-13
  366.0730       4.0400         141.7240       81.0000     1.094630     0.1308955D+02     0.3604012D-01     0.3379224D-02
  366.4160       4.3830         179.7560      101.0000     1.149850     0.8619961D+01     0.1082897D+01    -0.3461158D-02
  366.6990       4.6660         214.4930      121.0000     1.168790     0.4289634D+01     0.1442571D+01    -0.3269152D-02
  366.9440       4.9110         246.4630      141.0000     1.171820     0.5831034D+00     0.1343395D+01    -0.8224154D-03
  367.1630       5.1300         276.5670      161.0000     1.169850    -0.2772301D+01     0.9621433D+00    -0.2300279D-03
  367.3640       5.3310         304.5050      181.0000     1.163780    -0.4962437D+01     0.5094637D+00     0.9591825D-03
  367.5520       5.5190         330.6770      201.0000     1.156320    -0.6047035D+01     0.1364003D+00     0.1837793D-02
  367.7280       5.6950         355.4190      221.0000     1.148560    -0.6452926D+01    -0.3107427D+00     0.2469302D-02
  367.8960       5.8630         379.0510      241.0000     1.141430    -0.6116619D+01    -0.5866637D+00     0.2513818D-02
  368.0570       6.0240         401.9290      261.0000     1.135510    -0.5375247D+01    -0.7195334D+00     0.1828836D-02
  368.2110       6.1780         424.2680      281.0000     1.130790    -0.4552324D+01    -0.8414713D+00     0.7288104D-03
  368.3600       6.3270         446.0240      301.0000     1.126790    -0.3392899D+01    -0.8053967D+00    -0.1968903D-03
  368.5030       6.4700         467.2750      321.0000     1.123510    -0.2206866D+01    -0.8448631D+00    -0.8204061D-03
  368.6430       6.6100         488.2040      341.0000     1.121030    -0.7704200D+00    -0.6220658D+00    -0.1261598D-02
  368.7770       6.7440         508.9150      361.0000     1.119400     0.2741549D+00    -0.6481149D+00    -0.1520497D-02
  368.9090       6.8760         529.4860      381.0000     1.118590     0.1446717D+01    -0.3953557D+00    -0.1666379D-02
  369.0370       7.0040         549.9430      401.0000     1.118480     0.2350844D+01    -0.2237182D+00    -0.1618430D-02
  369.1620       7.1290         570.3020      421.0000     1.118960     0.3095756D+01    -0.3323163D-01    -0.1354907D-02
  369.2840       7.2510         590.5750      441.0000     1.119960     0.3633536D+01     0.1265186D+00    -0.9016623D-03
  369.4030       7.3700         610.9310      461.0000     1.121700     0.3761723D+01     0.2078401D+00    -0.5876876D-03
  369.5200       7.4870         631.3040      481.0000     1.123930     0.3689441D+01     0.3387030D+00    -0.2566437D-03
  369.6350       7.6020         651.6890      501.0000     1.126600     0.3396427D+01     0.4845716D+00     0.2933279D-04
  369.7480       7.7150         672.1010      521.0000     1.129630     0.2843805D+01     0.6119352D+00     0.2312844D-03
  369.8590       7.8260         692.4110      541.0000     1.132780     0.2138095D+01     0.6883864D+00     0.4658116D-03
  369.9680       7.9350         712.4400      561.0000     1.135800     0.1437217D+01     0.6826893D+00     0.8572434D-03
  370.0750       8.0420         732.1970      581.0000     1.138690     0.7124972D+00     0.5648380D+00     0.1279607D-02
  370.1810       8.1480         751.6930      601.0000     1.141460     0.1130791D+00     0.4951693D+00     0.1626627D-02
  370.2850       8.2520         770.9540      621.0000     1.144150    -0.5819889D+00     0.2610838D+00     0.1701788D-02
  370.3880       8.3550         789.9880      641.0000     1.146760    -0.1218014D+01     0.2878224D-01     0.1404227D-02
  370.4900       8.4570         808.8120      661.0000     1.149310    -0.1826878D+01    -0.2221271D+00     0.5803206D-03
  370.5910       8.5580         827.4310      681.0000     1.151790    -0.2427928D+01    -0.5116385D+00    -0.8951330D-03
  370.6850       8.6520         844.9380      700.0000     1.154090    -0.3195204D+01    -0.1042025D+01    -0.3030223D-02
  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 41.80000000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
  --**.********-------**.********----**.********-------**.********-------**.********-------**.********----  ---**.********- -----**.********
  362.5640       0.5290           6.3790        1.0000     1.000000    -0.3233275D+01    -0.2050532D+01     0.1110223D-14
  364.2030       2.1680          46.0720       21.0000     1.000000     0.2056555D+02     0.1026985D+02    -0.8881784D-15
  365.1140       3.0790          76.5430       41.0000     1.002220    -0.1152501D+02    -0.1540502D+01     0.6661338D-15
  365.7170       3.6820         105.4940       61.0000     1.044560    -0.1858949D+02    -0.7213351D+01     0.6645865D-02
  366.1600       4.1250         139.1160       81.0000     1.104200    -0.1735777D+02    -0.8788916D+01    -0.2710454D-01
  366.5290       4.4940         169.7810      101.0000     1.125820    -0.4937132D+01    -0.6948010D+01     0.3460030D-02
  366.8510       4.8160         199.6860      121.0000     1.141160     0.1370202D+02    -0.2326997D+01     0.4014482D-01
  367.1180       5.0830         240.3050      141.0000     1.198870     0.2107385D+02     0.2420033D+01     0.2272378D-01
  367.3300       5.2950         286.2580      161.0000     1.253260     0.1808698D+02     0.5063779D+01    -0.4507509D-02
  367.5090       5.4740         331.8350      181.0000     1.289140     0.1199666D+02     0.6349599D+01    -0.2199427D-01
  367.6620       5.6270         374.6040      201.0000     1.305560     0.5190454D+01     0.6173647D+01    -0.2647031D-01
  367.8010       5.7660         413.6800      221.0000     1.308560     0.4538913D+00     0.5523349D+01    -0.2183233D-01
  367.9300       5.8950         449.9220      241.0000     1.304750    -0.2587433D+01     0.4648637D+01    -0.1372493D-01
  368.0500       6.0150         484.1350      261.0000     1.298040    -0.4844626D+01     0.3468736D+01    -0.5405462D-02
  368.1650       6.1300         516.7580      281.0000     1.290490    -0.5948800D+01     0.2451430D+01     0.1600725D-02
  368.2740       6.2390         548.0770      301.0000     1.282900    -0.6654648D+01     0.1311938D+01     0.6896104D-02
  368.3800       6.3450         578.2980      321.0000     1.275640    -0.6482448D+01     0.4745928D+00     0.1039491D-01
  368.4810       6.4460         607.5490      341.0000     1.268870    -0.6265641D+01    -0.5042904D+00     0.1232345D-01
  368.5790       6.5440         635.9640      361.0000     1.262640    -0.5674205D+01    -0.1329434D+01     0.1284024D-01
  368.6750       6.6400         663.8600      381.0000     1.256920    -0.4819213D+01    -0.1852949D+01     0.1216305D-01
  368.7680       6.7330         690.8490      401.0000     1.251770    -0.3694841D+01    -0.2325446D+01     0.1053665D-01
  368.8580       6.8230         717.2260      421.0000     1.247120    -0.2675115D+01    -0.2804930D+01     0.8265539D-02
  368.9460       6.9110         743.0470      441.0000     1.242950    -0.1579570D+01    -0.3121606D+01     0.5505141D-02
  369.0320       6.9970         768.3600      461.0000     1.239210    -0.5155673D+00    -0.3312110D+01     0.2501379D-02
  369.1170       7.0820         793.1970      481.0000     1.235870     0.7376645D+00    -0.3172719D+01    -0.6053247D-03
  369.1990       7.1640         817.6160      501.0000     1.232890     0.1458964D+01    -0.3213633D+01    -0.3450625D-02
  369.2800       7.2450         841.6230      521.0000     1.230230     0.2210791D+01    -0.2984158D+01    -0.5975814D-02
  369.3600       7.3250         865.2580      541.0000     1.227870     0.2909668D+01    -0.2501195D+01    -0.7989839D-02
  369.4380       7.4030         888.5460      561.0000     1.225770     0.3188197D+01    -0.2047085D+01    -0.9248768D-02
  369.5150       7.4800         911.5180      581.0000     1.223910     0.3282613D+01    -0.1385785D+01    -0.9636215D-02
  369.5900       7.5550         934.1630      601.0000     1.222270     0.2873502D+01    -0.8115627D+00    -0.8977227D-02
  369.6650       7.6300         956.5220      621.0000     1.220860     0.2479723D+01     0.2073412D+00    -0.7165046D-02
  369.7380       7.7030         978.6050      641.0000     1.219610     0.1475312D+01     0.1093611D+01    -0.4007244D-02
  369.8110       7.7760        1000.4260      661.0000     1.218520     0.3950319D+00     0.2402632D+01     0.6776953D-03
  369.8820       7.8470        1022.0010      681.0000     1.217580    -0.1371186D+01     0.3533879D+01     0.6919713D-02
  369.9490       7.9140        1042.2830      700.0000     1.216810    -0.3324906D+01     0.4842157D+01     0.1449639D-01
  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 41.90000000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
  --**.********-------**.********----**.********-------**.********-------**.********-------**.********----  ---**.********- -----**.********
  361.6620       0.6180           6.2880        1.0000     1.000000    -0.6556500D+01    -0.1676604D+01     0.1332268D-14
  363.4420       2.3980          45.9360       21.0000     1.000000     0.3743906D+02     0.7893254D+01    -0.3219647D-14
  364.5070       3.4630          78.9550       41.0000     1.000000    -0.1805801D+02     0.3170149D+00     0.3330669D-14
  365.1520       4.1080         104.0880       61.0000     1.008440    -0.3277890D+02    -0.6423620D+01    -0.1110223D-14
  365.6570       4.6130         131.5690       81.0000     1.042490    -0.2851816D+02    -0.9093927D+01     0.1054174D-02
  366.0940       5.0500         158.6570      101.0000     1.065690    -0.7855028D+01    -0.6715136D+01    -0.4208970D-02
  366.4360       5.3920         195.1120      121.0000     1.119520     0.7293925D+01    -0.2960547D+01    -0.1457277D-02
  366.7070       5.6630         235.9270      141.0000     1.170670     0.1649701D+02     0.5721735D+00    -0.1158823D-02
  366.9340       5.8900         274.4470      161.0000     1.196600     0.2608284D+02     0.3966786D+01     0.1233365D-01
  367.1300       6.0860         312.2170      181.0000     1.211190     0.3433268D+02     0.7172860D+01     0.2544838D-01
  367.2860       6.2420         362.8110      201.0000     1.259080     0.2326652D+02     0.7810141D+01    -0.6003017D-02
  367.4220       6.3780         407.5450      221.0000     1.277230     0.1503135D+02     0.7479840D+01    -0.1443928D-01
  367.5450       6.5010         449.7670      241.0000     1.284860     0.7405561D+01     0.6693472D+01    -0.1719149D-01
  367.6600       6.6160         488.9300      261.0000     1.284400     0.1907127D+01     0.5942705D+01    -0.1556613D-01
  367.7640       6.7200         524.6460      281.0000     1.276180    -0.2305198D+01     0.4468209D+01    -0.9064582D-02
  367.8610       6.8170         558.3120      301.0000     1.265830    -0.5714427D+01     0.2742083D+01    -0.2589181D-02
  367.9540       6.9100         590.3690      321.0000     1.254990    -0.8001091D+01     0.1197573D+01     0.2609331D-02
  368.0430       6.9990         621.0920      341.0000     1.244250    -0.9564801D+01    -0.2541355D+00     0.6337471D-02
  368.1290       7.0850         650.7600      361.0000     1.233900    -0.1046153D+02    -0.1480762D+01     0.8582351D-02
  368.2120       7.1680         679.6740      381.0000     1.224060    -0.1107924D+02    -0.2545603D+01     0.9540393D-02
  368.2920       7.2480         707.4690      401.0000     1.214860    -0.1113361D+02    -0.3513667D+01     0.9379798D-02
  368.3690       7.3250         734.4800      421.0000     1.206280    -0.1103409D+02    -0.4451333D+01     0.8395306D-02
  368.4450       7.4010         760.7880      441.0000     1.198330    -0.1021148D+02    -0.4902042D+01     0.6564205D-02
  368.5180       7.4740         786.4640      461.0000     1.190980    -0.9500808D+01    -0.5420096D+01     0.4391992D-02
  368.5900       7.5460         811.5690      481.0000     1.184190    -0.8287358D+01    -0.5512606D+01     0.1863093D-02
  368.6600       7.6160         836.1440      501.0000     1.177910    -0.7015607D+01    -0.5483503D+01    -0.6532881D-03
  368.7290       7.6850         860.2300      521.0000     1.172110    -0.5393264D+01    -0.5074940D+01    -0.3072988D-02
  368.7960       7.7520         883.8640      541.0000     1.166760    -0.3863412D+01    -0.4611827D+01    -0.5082089D-02
  368.8620       7.8180         907.0810      561.0000     1.161810    -0.2116968D+01    -0.3818592D+01    -0.6588081D-02
  368.9270       7.8830         929.8980      581.0000     1.157230    -0.1966083D+00    -0.2711310D+01    -0.7402636D-02
  368.9910       7.9470         952.3590      601.0000     1.152990     0.1829241D+01    -0.1306655D+01    -0.7345247D-02
  369.0530       8.0090         974.4720      621.0000     1.149070     0.3544324D+01     0.2910522D-01    -0.6220079D-02
  369.1150       8.0710         996.2580      641.0000     1.145430     0.5674645D+01     0.1966437D+01    -0.3946825D-02
  369.1760       8.1320        1017.7470      661.0000     1.142060     0.7786069D+01     0.4147785D+01    -0.3368039D-03
  369.2360       8.1920        1038.9510      681.0000     1.138920     0.9847246D+01     0.6554361D+01     0.4762663D-02
  369.2920       8.2480        1058.8360      700.0000     1.136160     0.1170851D+02     0.9003107D+01     0.1106399D-01
  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 42.00000000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
  --**.********-------**.********----**.********-------**.********-------**.********-------**.********----  ---**.********- -----**.********
  360.6660       0.6170           6.0640        1.0000     1.000000     0.1144983D+00     0.4590081D+00    -0.1110223D-15
  362.4120       2.3630          43.4520       21.0000     1.000000    -0.1078706D+01    -0.4431643D+01     0.4662937D-14
  363.3940       3.3450          70.4670       41.0000     1.000000     0.1831173D+01     0.4644175D+01    -0.7660539D-14
  364.1580       4.1090          94.4210       61.0000     1.000790     0.4970053D+00     0.5291971D+01     0.3330669D-14
  364.8230       4.7740         118.0770       81.0000     1.004920    -0.1807223D+01     0.1986573D+01     0.2295191D-01
  365.3330       5.2840         138.0510      101.0000     1.010460    -0.1563204D+01    -0.3763193D+01    -0.3896445D-01
  365.7910       5.7420         158.3040      121.0000     1.022900     0.1799777D+01    -0.7373504D+01    -0.2114876D-01
  366.1930       6.1440         186.1480      141.0000     1.069540     0.1139149D+01    -0.7915282D+01    -0.3045799D-02
  366.5340       6.4850         217.5680      161.0000     1.115890    -0.8172966D+00    -0.5897588D+01     0.1919969D-01
  366.8290       6.7800         248.1060      181.0000     1.144750     0.9537221D-01    -0.1431829D+01     0.5159199D-01
  367.0840       7.0350         280.9180      201.0000     1.174140    -0.2105451D+00     0.4728405D+01     0.7182515D-01
  367.2570       7.2080         334.3300      221.0000     1.255410    -0.5458635D+01     0.5570988D+01     0.2061451D-01
  367.4250       7.3760         375.8680      241.0000     1.284760     0.1313797D+02     0.8511302D+01     0.1658180D-01
  367.5480       7.4990         438.8660      261.0000     1.362030    -0.2403137D+01     0.7150327D+01    -0.4506055D-01
  367.6640       7.6150         486.1190      281.0000     1.383480    -0.3094070D+01     0.6266955D+01    -0.5433548D-01
  367.7700       7.7210         529.5190      301.0000     1.391220    -0.2930858D+01     0.5123538D+01    -0.5333563D-01
  367.8680       7.8190         569.4340      321.0000     1.389290    -0.2051929D+01     0.3802721D+01    -0.4550851D-01
  367.9600       7.9110         606.7670      341.0000     1.382010    -0.8651427D+00     0.2482722D+01    -0.3472084D-01
  368.0450       7.9960         641.8690      361.0000     1.371400    -0.3340737D+00     0.7716163D+00    -0.2270643D-01
  368.1270       8.0780         675.3210      381.0000     1.359400     0.5311462D+00    -0.6077432D+00    -0.1109657D-01
  368.2050       8.1560         707.4280      401.0000     1.347030     0.9528008D+00    -0.1970068D+01    -0.7480439D-03
  368.2800       8.2310         738.3880      421.0000     1.334710     0.1130303D+01    -0.3167175D+01     0.8060596D-02
  368.3530       8.3040         768.3320      441.0000     1.322700     0.1347186D+01    -0.4006476D+01     0.1513389D-01
  368.4230       8.3740         797.3810      461.0000     1.311130     0.1085768D+01    -0.4811027D+01     0.2052635D-01
  368.4920       8.4430         825.6230      481.0000     1.300070     0.1106692D+01    -0.5077336D+01     0.2408178D-01
  368.5580       8.5090         853.1540      501.0000     1.289560     0.5292280D+00    -0.5424341D+01     0.2607161D-01
  368.6230       8.5740         880.0230      521.0000     1.279600     0.1618974D+00    -0.5304999D+01     0.2633435D-01
  368.6870       8.6380         906.2890      541.0000     1.270200    -0.1101070D-01    -0.4733908D+01     0.2489872D-01
  368.7490       8.7000         932.0010      561.0000     1.261350    -0.3991908D+00    -0.4066172D+01     0.2201503D-01
  368.8090       8.7600         957.1960      581.0000     1.253010    -0.9934637D+00    -0.3354522D+01     0.1782546D-01
  368.8690       8.8200         981.9240      601.0000     1.245160    -0.9725025D+00    -0.1926665D+01     0.1197674D-01
  368.9270       8.8780        1006.2180      621.0000     1.237740    -0.1142957D+01    -0.5160577D+00     0.5031239D-02
  368.9840       8.9350        1029.9910      641.0000     1.230800    -0.9558897D+00     0.1208424D+01    -0.3233046D-02
  369.0400       8.9910        1053.4680      661.0000     1.224220    -0.5859732D+00     0.3225874D+01    -0.1264852D-01
  369.0960       9.0470        1076.6120      681.0000     1.218000     0.4890708D+00     0.5926042D+01    -0.2348071D-01
  369.1480       9.0990        1098.2600      700.0000     1.212420     0.1726772D+01     0.8628884D+01    -0.3468747D-01
  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 42.03500000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
  --**.********-------**.********----**.********-------**.********-------**.********-------**.********----  ---**.********- -----**.********
  360.4200       0.4680           7.3920        1.0000     1.000000     0.4884945D+00     0.3245585D+01     0.0000000D+00
  361.7700       1.8180          47.9170       21.0000     1.000000    -0.2567288D+01    -0.1082812D+02     0.8881784D-15
  362.5420       2.5900          75.1490       41.0000     1.000160     0.1172323D+01    -0.6059889D+00    -0.4440892D-15
  363.1190       3.1670          97.2850       61.0000     1.004670     0.2232640D+01     0.4589878D+01    -0.2027472D-01
  363.6250       3.6730         117.9420       81.0000     1.010360     0.1419384D+01     0.5967669D+01     0.2848984D-01
  364.1150       4.1630         139.0950      101.0000     1.015360    -0.4569840D+00     0.5402562D+01     0.1991243D-01
  364.5980       4.6460         161.2710      121.0000     1.017610    -0.2398124D+01     0.3804002D+01    -0.4486527D-02
  365.0370       5.0850         182.6260      141.0000     1.018420    -0.2781043D+01     0.1051829D+01    -0.1976560D-01
  365.4070       5.4550         201.5100      161.0000     1.020050    -0.7068212D+00    -0.2732599D+01    -0.1947884D-01
  365.7370       5.7850         220.2700      181.0000     1.028340     0.2908320D+01    -0.5787170D+01    -0.1136501D-01
  366.0340       6.0820         245.9000      201.0000     1.060160     0.1330022D+01    -0.7504198D+01    -0.1573323D-01
  366.3040       6.3520         272.4390      221.0000     1.087820     0.6606876D+00    -0.7502729D+01    -0.8584585D-02
  366.5470       6.5950         300.4580      241.0000     1.113880    -0.1784059D+00    -0.6012581D+01     0.3485371D-02
  366.7660       6.8140         329.0490      261.0000     1.135920    -0.6056686D+00    -0.3218301D+01     0.1990864D-01
  366.9650       7.0130         357.8710      281.0000     1.154200    -0.4193787D+00     0.7901234D+00     0.3854038D-01
  367.1460       7.1940         387.0770      301.0000     1.169770    -0.9815740D-01     0.5735848D+01     0.5686950D-01
  367.2770       7.3250         452.4070      321.0000     1.241810    -0.2554224D+01     0.5843486D+01     0.8796016D-02
