200411100100,0.0034,1
200411100200,0.0095,1
200411100300,0.0045,1
200411100400,0.0052,1
200411100500,0.0184,1
200411100600,0.0109,1
200411100700,0.0041,1
200411100800,0.0048,1
200411100900,0.0091,1
200411101000,0.0125,1
200411101100,0.0114,1
200411101200,0.0098,1
200411101300,0.0007,1
200411101400,0.0009,1
200411101500,0,1
200411101600,0,1
200411101700,0,1
200411101800,0,1
200411101900,0,1
200411102000,0,1
200411102100,0,1
200411102200,0.0043,1
200411102300,0.0875,1
200411110000,0.11,1
200411110100,0.0739,1
200411110200,0.1139,1
200411110300,0.393,1
200411110400,1.1311,1
200411110500,1.5764,1
200411110600,1.343,1
200411110700,0.5768,1
200411110800,0.1839,1
200411110900,0.0689,1
200411111000,0.0066,1
200411111100,0,1
200411111200,0,1
200411111300,0.0011,1
200411111400,0.0066,1
200411111500,0.0159,1
200411111600,0.0227,1
200411111700,0.0234,1
200411111800,0.0143,1
200411111900,0.0068,1
200411112000,0.0123,1
200411112100,0.0132,1
200411112200,0.015,1
200411112300,0.0164,1
200411120000,0.0007,1
