200411080100,0.0635
200411080200,0.0339
200411080300,0.0017
200411080400,0.0001
200411080500,0.0006
200411080600,0.0022
200411080700,0.02
200411080800,0.0213
200411080900,0.0196
200411081000,0.0341
200411081100,0.042
200411081200,0.0309
200411081300,0.0171
200411081400,0.0014
200411081500,0.0001
200411081600,0
200411081700,0
200411081800,0.0017
200411081900,0.009
200411082000,0.0214
200411082100,0.0257
200411082200,0.0171
200411082300,0.0365
200411090000,0.0123
200411090100,0.1043
200411090200,0.2896
200411090300,0.2999
200411090400,0.6303
200411090500,0.6355
200411090600,0.8228
200411090700,1.1826
200411090800,1.2022
200411090900,0.8872
200411091000,0.7875
200411091100,0.6514
200411091200,0.3413
200411091300,0.4152
200411091400,0.502
200411091500,0.5065
200411091600,0.5841
200411091700,0.5112
200411091800,0.3938
200411091900,0.3065
200411092000,0.349
200411092100,0.5143
200411092200,1.049
200411092300,1.4077
200411100000,0.7952
