     PROFIL  PUNKT     X [m]     H [m]  LAMBDA [-]   V [m/s]
     0.3147     14    13.611     7.974   0.0000000     0.000
     0.3147     15    15.215     9.124   0.0000000     0.000
     0.3147     16    16.686    10.459   0.0000000     0.000
     0.3147     17    16.850    10.569   0.0000000     0.000
     0.3147     18    17.468    11.346   0.0000000     0.000
     0.3147     19    18.485    12.454   0.0000000     0.000
     0.3147     20    20.825    12.524   0.0000000     0.000
     0.3147     21    23.392    13.109   0.0000000     0.000
     0.3310      1    -3.968     8.020   0.0000000     0.000
     0.3310      2    -1.611     8.020   0.0000000     0.000
     0.3310      3    -0.414     8.020   0.0000000     0.000
     0.3310      4     0.000     8.020   0.0856632     0.000
     0.3310      5     4.786     8.020   0.0756721     2.375
     0.3310      6     4.786     4.895   0.0756721     2.375
     0.3310      7     4.790     4.895   0.0756721     2.375
     0.3310      8     7.192     4.881   0.0756721     2.375
     0.3310      9     7.686     4.822   0.0756721     2.375
     0.3310     10     7.690     4.822   0.0756721     2.375
     0.3310     11     7.690     8.020   0.0729226     0.000
     0.3310     12    13.169     7.981   0.0000000     0.000
     0.3310     13    13.200     8.020   0.0000000     0.000
     0.3310     14    14.804     9.170   0.0000000     0.000
     0.3310     15    16.276    10.506   0.0000000     0.000
     0.3310     16    16.440    10.616   0.0000000     0.000
     0.3310     17    17.057    11.392   0.0000000     0.000
     0.3310     18    18.075    12.500   0.0000000     0.000
     0.3310     19    20.414    12.570   0.0000000     0.000
     0.3310     20    22.981    13.156   0.0000000     0.000
     0.3660      1    -3.968     8.020   0.0000000     0.000
     0.3660      2    -1.611     8.020   0.0000000     0.000
     0.3660      3    -0.414     8.020   0.0000000     0.000
     0.3660      4     0.000     8.020   0.0856632     0.000
     0.3660      5     4.786     8.020   0.0702810     1.783
     0.3660      6     4.786     4.895   0.0702810     1.783
     0.3660      7     4.790     4.895   0.0702810     1.783
     0.3660      8     7.192     4.881   0.0702810     1.783
     0.3660      9     7.686     4.822   0.0702810     1.783
     0.3660     10     7.690     4.822   0.0702810     1.783
     0.3660     11     7.690     8.020   0.0729226     0.000
     0.3660     12    13.169     7.981   0.0000000     0.000
     0.3660     13    13.200     8.020   0.0000000     0.000
     0.3660     14    14.804     9.170   0.0000000     0.000
     0.3660     15    16.276    10.506   0.0000000     0.000
     0.3660     16    16.440    10.616   0.0000000     0.000
     0.3660     17    17.057    11.392   0.0000000     0.000
     0.3660     18    18.075    12.500   0.0000000     0.000
     0.3660     19    20.414    12.570   0.0000000     0.000
     0.3660     20    22.981    13.156   0.0000000     0.000
     0.3710      1    -3.968     8.070   0.0000000     0.000
