Lfd.Nr.;Pegelname;Gewässer;Gewässerfolge;Gebiet;Gebietskennz.;TK 25;HW;RW;LS;Stationierung;Lage am Gewässer;Gemeindekennzahl;AEO (km2);PNP1;PNP2;PNP3;Messstellennummer1;Messstellennummer2;Messstellennummer3;Messnetzart;WO;W1;WZ;Q;B;F;Tw;2;3;4;5;GJ;OrB;eingest.;gepl.;Betreiber;Daten abrufbar bei;Veröffentlichung der Daten;sonstige Bemerkungen
369;Flußw.aufbereit.anlage;Salzgraben;Salza, Saale, Elbe;Untere Saale;567247;4435;5707740;4474860;GKS;;;15215190;;;;;;;;S;;;;Q;;;;;;;;;;;;LHW;FB MER;;kein Lattenpegel, induktive Messsonde
370;See-Pegel am Zulauf;Süßer See;Salza, Saale, Elbe;Untere Sale;56724;4435;5707740;4474860;GKS;;;15215190;;92,21;;;;;;G;;;WZ;;;;;;;;;;;;;LHW;FB MER;;
371;See-Pegel am Ablauf;Süßer See;Salza, Saale, Elbe;Untere Saale;56724;4536;5705940;4479380;GKS;;;15215270;;92,21;;;;;;G;;;WZ;;;;;;;;;;;;;LHW;FB MER;;
372;Südschleuse Süßer See;Salza;Saale, Elbe;Untere Saale;5672;4536;5705940;4479380;GKS;;links;15215270;;;;;;;;G;;;WZ;Q;;;;;;;;;;;;LHW;FB MER;;
373;Nordschleuse Süßer See;Rollsdorfer Mühlgr.;Salza, Saale, Elbe;Untere Saale;5672;4536;5706620;4479280;GKS;;links;15215270;;92,30;;;;;;G;;;WZ;;;;;;3;;;;;;;LHW;FB MER;;induktive Messsonde
374;See-Pegel am Ablauf;Bindersee;Salza, Saale, Elbe;Untere Saale;5672;4536;5705720;4481060;GKS;;;;;79,25;;;;;;G;;;WZ;;;;;;;;;;;;;LHW;FB MER;;
375;Ablaufpegel Bindersee;Verbindungsgraben;Salza, Saale, Elbe;Untere Saale;5672;4536;5705720;4481061;GKS;;rechts;;;;;;;;;S;;;WZ;Q;;;;;;;;;;;;LHW;FB MER;;
376;See-Pegel am Ablauf;Kerrnersee;Salza, Saale, Elbe;Untere Saale;5672;4536;5705720;4482140;GKS;;;;;77,23;;;;;;G;;;WZ;;;;;;;;;;;;;LHW;FB MER;;
377;See-Pegel Salziger See;Teufe;;Untere Saale;5672;4536;5704060;4477380;GKS;;;15215230;;;;;;;;S;;;WZ;;;;;;;;;;;;;LHW;FB MER;;
378;UP Pumpw.Wansleben;Mittelgraben;Salza, Saale, Elbe;Untere Saale;5672;4536;5704840;4482220;GKS;;;15215330;;75,70;;;;;;G;;;WZ;;;;;;;;5;;;;;LHW;FB MER;;
379;OP Pumpw.Wansleben;Südlicher Ringkanal;Salza, Saale, Elbe;Untere Saale;5672;4536;5704800;4482320;GKS;;;15215330;;85,36;;;;;;G;;;WZ;;;;;;;;5;;;;;LHW;FB MER;;
380;Wansleben;Salza;Saale, Elbe;Untere Saale;5672;4536;5705760;4482100;GKS;;links;15215330;;;;;;;;G;;;WZ;Q;;;;;;;;;;;;LHW;LHW Halle;;
381;Deichsiel Predel;Weiße Elster;Saale, Elbe;Weiße Elster;56659;4839;5664741;4514589;GKS;;;;;130,00;;;;;;S;;;;;;;;2;;;;;;;;LHW;FB MER;;
382;Deichsiel Profen;Weiße Elster;Saale, Elbe;Weiße Elster;56659;4839;5665931;4515486;GKS;;;15246240;;130,00;;;;;;S;;;;;;;;2;;;;;;;;LHW;FB MER;;
383;Göbitz;MG Göbitz;Weiße Elster, Saale, Elbe;Weiße Elster;5665;4939;5660791;4512251;GKS;;rechts;15246100;;140,00;;;;;;S;;;WZ;;;;;;;4;;;OrB;;;LHW;FB MER;;
384;Mühle Göbitz;MG Göbitz;Weiße Elster, Saale, Elbe;Weiße Elster;5665;4939;5661188;4512798;GKS;;rechts;15246100;;;;;;;;S;;;WZ;;;;;;;;;;OrB;;;LHW;FB MER;;
385;Mühle Göbitz;MG Göbitz;Weiße Elster, Saale, Elbe;Weiße Elster;5665;4939;5661185;4512865;GKS;;links;15246100;;;;;;;;S;;;WZ;;;;;;;;;;OrB;;;LHW;FB MER;;
386;Mühle Ostrau;MG Göbitz;Weiße Elster, Saale, Elbe;Weiße Elster;5665;4939;5662580;4513665;GKS;;rechts;;;140,00;;;;;;S;;;WZ;;;;;;;;;;OrB;;;LHW;FB MER;;
387;Mühle Ostrau;MG Göbitz;Weiße Elster, Saale, Elbe;Weiße Elster;5665;4939;5662603;4513679;GKS;;rechts;;;140,00;;;;;;S;;;;;;;;2;;;;;;;;LHW;FB MER;;
389;Schützenanlage;MG Profen;Weiße Elster, Saale, Elbe;Weiße Elster;5665;4839;5665540;4516266;GKS;;rechts;15246240;;130,00;;;;;;S;;;WZ;;;;;;;4;;;OrB;;;LHW;FB MER;;
390;Brücke Beersdorf;MG Profen;Weiße Elster, Saale, Elbe;Weiße Elster;5665;4839;5666657;4516087;GKS;;rechts;;;;;;;;;S;;;WZ;;;;;;;;;;OrB;;;LHW;FB MER;;
391;Großosida;MG Zeitz;Weiße Elster, Saale, Elbe;Weiße Elster;5665;4938;5655443;4507411;GKS;;rechts;;;150,00;;;;;;S;;;WZ;;;;;;;4;;;OrB;;;LHW;FB MER;;
392;Zörbig;Strengbach;Fuhne, Saale, Elbe;Untere Saale;;;;;;;;15113470;;;;;;;;G;;;WZ;Q;;;;;;;;;;;gepl.;LHW;;;
