Lfd.Nr.;Pegelname;Gewässer;Gewässerfolge;Gebiet;Gebietskennz.;TK 25;HW;RW;LS;Stationierung;Lage am Gewässer;Gemeindekennzahl;AEO (km2);PNP1;PNP2;PNP3;Messstellennummer1;Messstellennummer2;Messstellennummer3;Messnetzart;WO;W1;WZ;Q;B;F;Tw;2;3;4;5;GJ;OrB;eingest.;gepl.;Betreiber;Daten abrufbar bei;Veröffentlichung der Daten;sonstige Bemerkungen
292;Pulsforde;Boner Nuthe;Nuthe, Elbe;Mittlere Elbe bis Havel;572419;4038;5760020;4510080;;8,0;;;135;69,77;;n S;590045;590037;590055;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;
293;Dodendorf;Sülze;Elbe;Mittlere Elbe bis Havel;57349;3935;5767610;4478770;;9,5;;;118;55,48;;n S;590105;590055;590120;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;Ausfallzeiten
294;Magdeburg Salbke;Sülze;Elbe;Mittlere Elbe bis Havel;57394;;;;;;;;;;;;590110;;;;;;;;;;;;;;;;;;;;;;
295;Magdeburg Karl-Miller-Str.;Klinke;Elbe;Mittlere Elbe bis Havel;57369;3835;5775900;4474380;;2,2;;;;;;;590120;590105;590205;G;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
296;Loburg;Ehle;Elbe;Mittlere Elbe bis Havel;57415;3838;5775790;4504680;;29,5;links;;69,0;70,88;;n S;590205;590120;590210;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;
297;Dannigkow;Ehle;Elbe;Mittlere Elbe bis Havel;57453;3937;5770850;4491230;;9,4;links;;260;51,70;;n S;590210;590205;591005;G;WO;;;Q;;;;;;;;GJ;;;;STAU MD;STAU MD;DGJ;
298;Biederitz Heyrothsberge UP;Ehle;Elbe;Mittlere Elbe bis Havel;57459;3836;5778200;4481540;;9,0;;;310;41,77;;;590230;;;;;;;;;;;2;;;;;;;;;;;
299;Jahrstedt;Ohre;Elbe;Mittlere Elbe bis Havel;57613;3431;5825900;4431120;;82,1;;;140;;;;591005;590210;591010;G;;;WZ;Q;B;;;;;;;;;;;STAU MD;STAU MD;;Ausbau 1964/1990
300;Miesterhorst Taterberg;Ohre;Elbe;Mittlere Elbe bis Havel;57617;3532;5814900;4438170;;68,0;;;260;55,16;;;591020;591010;591030;G;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
301;Calvörde;Ohre;Elbe;Mittlere Elbe bis Havel;57639;3633;5807030;4452920;;49,2;links;;732;52,02;;n S;591040;591030;591043;G;WO;;;Q;B;;Tw;;;;;GJ;;;;STAU MD;STAU MD;DGJ;Ausfallzeiten, Ausbau 1985
302;Satuelle;Ohre;Elbe;Mittlere Elbe bis Havel;57655;3634;5799500;4456880;;40,2;;;1016;51,23;;n S;591043;591040;591046;G;WO;;;Q;;;;;;;;;;;;STAU MD;STAU MD;;Ausfallzeiten
303;Satuelle Pumpspeicherwerk;Ohre;Elbe;Mittlere Elbe bis Havel;57655;3634;5799200;4457860;;40,2;;;;51,88;;;591046;591043;591050;S;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
304;Wolmirstedt;Ohre;Elbe;Mittlere Elbe bis Havel;57679;3735;5790330;4474380;;17,0;links;;1503;40,28;;;591070;591060;591105;G;WO;;;Q;B;;;;;;;GJ;;;;STAU MD;STAU MD;DGJ;
305;Dannefeld-Kahnstieg;Friedrichskanal;Ohre, Elbe;Mittlere Elbe bis Havel;57629;3532;;;;10,2;;;119,0;55,80;;;591205;591105;591210;G;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
306;Bergfriede ;Allerkanal;Ohre, Elbe;Mittlere Elbe bis Havel;57632;3532;5813540;4436330;;18,0;;;29,0;55,23;;;591405;591305;591410;G;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
307;Magdeburg Diesdorf;Schrote;Ohre, Elbe;Mittlere Elbe bis Havel;57685;3835;5777350;4470430;;27,0;;;54,0;;;;591605;591505;591606;S;;;WZ;;;;;;;;;;OrB;;;STAU MD;STAU MD;;
308;Demker;Tanger;Elbe;Mittlere Elbe bis Havel;57879;3537;5817730;4490660;;9,6;rechts;;356;32,05;;;592002;591606;592004;G;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
309;Tangerhütte;Mahlwinkler Tanger;Tanger, Elbe;Mittlere Elbe bis Havel;5784;3536;5811400;4487660;;7,5;rechts;;170;;35,17;HN76;592055;592004;592085;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;Ausfallzeiten, Ausbau 1969, 1971
310;Schönwalde;Lüderitzer Tanger;Tanger, Elbe;Mittlere Elbe bis Havel;57865;3536;5815750;4485800;;5,1;rechts;;96,0;34,28;;n S;592085;592055;592105;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;Ausfallzeiten, Ausbau 1967, 1975
311;Bölsdorf I OP;Bölsdorfer Tanger;Tanger, Elbe;Mittlere Elbe bis Havel;57883;3437;;;;0,8;;;43,0;31,50;;;592105;592085;592110;S;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
312;Bölsdorf I UP;Bölsdorfer Tanger;Tanger, Elbe;Mittlere Elbe bis Havel;57883;3437;;;;0,7;;;43,0;31,50;;;592110;592105;594003;S;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
313;Bölsdorf II OP;Bölsdorfer Tanger;Tanger, Elbe;Mittlere Elbe bis Havel;5788;3437;;;;;;;;30,89;;;592125;;;S;;;;;;;;;;;5;;;;;;;;
314;Bölsdorf II ;Bölsdorfer Tanger;Tanger, Elbe;Mittlere Elbe bis Havel;5788;3437;;;;;;;;30,89;;;592130;;;S;;;;;;;;;;;5;;;;;;;;
315;Hagenau;Biese;Aland, Elbe;Aland;591659;3235;5846910;4469700;;693,4;links;;59,5;;23,59;;594005;594003;594008;G;WO;;;Q;;;;;3;;;;;;;STAU MD;STAU MD;;
316;Dobbrun;Biese;Aland, Elbe;Aland;591693;3136;5855580;4484950;;36,7;rechts;;1597;18,08;;n S;594010;594008;594020;G;WO;;;Q;;;Tw;;;;;GJ;;;;STAU MD;STAU MD;DGJ;Ausbau 1909, 1929/30, 1934
317;Seehausen;Aland;Elbe;Aland;5916991;3036;5862240;4483800;;26,4;links;;1762;;16,52;;594020;594010;594030;G;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;Ausbau 1909, 1929/30, 1982
318;Geestgottberg;Aland;Elbe;Aland;5916999;3036;5867200;4482400;;21,2;Mitte;;1856;;16,71;;594030;594020;594040;G;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;Ausfallzeiten, Ausbau 1933/34, PNÄ1972
319;Wanzer Abschlußbauw. OP;Aland;Elbe;Aland;5916;;5775425;4472910;;3,6;;;1947;;;;59405;594040;594051;G;WO;;;;;;;;;;;;;;;STAU MD;STAU MD;;
320;Wanzer Abschlußbauw. UP;Aland;Elbe;Aland;5916;;5775425;4472910;;3,6;;;1947;;;;594051;59405;594102;G;WO;;;;;;;;;;;;;;;STAU MD;STAU MD;;
321;Polvitz Neue Mühle;Milde;Biese, Aland, Elbe;Aland;591611;3534;5816090;4459940;;100,0;links;;32,3;57,30;;;594102;594051;594104;G;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;Ausfallzeiten
322;Gardelegen;Milde;Biese, Aland, Elbe;Aland;591615;3434;5823000;4458670;;90,3;links;;154;36,76;;n S;594104;594102;594105;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;
323;Zienau;Laugenbach;Milde, Biese, Aland, Elbe;Aland;591614;3434;5821640;4461560;;3,8;links;;50,8;;;;594135;594105;594137;G;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;Ausfallzeiten, Ausbau 1976/77
324;Karritz;Secantsgraben;Milde, Biese, Aland, Elbe;Mittlere Elbe;57632;3334;5836350;4463350;;2,1;links;;191;;;;594137;594135;594143;S;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
325;Kalbe;Untermilde;Milde, Biese, Aland, Elbe;Aland;591649;3334;5837130;4457780;;12,2;links;;135;;27,50;HN76;594143;594137;594155;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;
326;Deetz;Uchte;Biese, Aland, Elbe;Aland;5916811;3436;5827880;4477400;;44,7;rechts;;38,1;;40,47;HN76;594155;594143;594160;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;Ausfallzeiten, Ausbau 1976/77, 1985
327;Tornau;Uchte;Biese, Aland, Elbe;Aland;5916816;3436;5827540;4485740;;34,8;links;;94,5;;31,26;HN76;594160;594155;594161;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;Ausfallzeiten, Ausbau 1952/68/83, PNÄ 1954
328;Stendal;Uchte;Biese, Aland, Elbe;Aland;591683;3337;5830150;4491140;;27,1;links;;142;;28,93;HN76;594171;594170;594173;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;
329;Goldbeck;Uchte;Biese, Aland, Elbe;Aland;591687;3237;5842800;4490210;;14,0;rechts;;430;24,31;;n S;594180;594173;594205;G;WO;;;Q;;;Tw;;;;;;;;;STAU MD;STAU MD;;Ausbau 1954, 1966, PNÄ 1986
330;Lindenberg;Zehrengraben;Seege, Elbe;Aland;591817;3035;5863860;4477070;;14,7;links;;113;;17,99;;594953;594305;594960;G;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;PNÄ 1981, 1983
331;Bömenzien;Zehrengraben;Seege, Elbe;Aland;59185;3035;;;;;;;;;;;594961;594960;597005;G;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
332;Gr. Gischau;Jeetze;Elbe;Jeetze (Jeetzel);593415;3232;5846660;4439300;;23,3;rechts;;186;;24,68;HN76;597005;594961;597007;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;
333;Sienau OP;Jeetze;Elbe;Jeetze (Jeetzel);593435;3232;5855120;4444600;;;rechts;;;;;;597007;597005;597008;S;WO;;;;;;Tw;;;;;;;;;STAU MD;STAU MD;;
334;Sienau UP;Jeetze;Elbe;Jeetze (Jeetzel);593435;3232;5855120;4444600;;43,3;rechts;;438;;18,13;HN76;597008;597007;597010;S;WO;;;;;;Tw;;;;;;;;;STAU MD;STAU MD;;
335;Salzwedel;Jeetze;Elbe;Jeetze (Jeetzel);59343;3132;5858660;4443050;;6,0;links;;676;17,35;;n S;597010;597008;597011;G;WO;;;Q;;;;;;;;GJ;;;;STAU MD;STAU MD;DGJ;Ausbau 1933/1974, PNÄ 1966/1980
336;Hagen;Purnitz;Jeetze, Elbe;Jeetze (Jeetzel);5934169;3232;5847200;4443620;;5,1;links;;136;;23,94;HN76;597105;597013;597205;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;
337;Tylsen;Salzwedler Dumme;Jeetze, Elbe;Jeetze (Jeetzel);59342;3132;5854500;4434540;;10,3;rechts;;194;;27,93;HN76;597205;597105;597210;G;WO;;;Q;;;;;;;;;;;;STAU MD;STAU MD;;Ausfallzeiten, Ausbau 1977/78, PNÄ 1943/83
338;Salzwedel;Salzwedler Dumme(Jeetze, Elbe);Jeetze, Elbe;Jeetze (Jeetzel);59342;3132;5858070;4442760;;0,6;rechts;;228;19,18;;;597210;597205;597305;G;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;Ausfallzeiten, Ausbau 1963
339;Ritzleben;Mühlengraben;Landgraben, Grenzgraben, Jeetze, Elbe;Jeetze (Jeetzel);5934164;3134;5858100;4456800;;5,1;rechts;;114;;22,32;HN76;597305;597210;597400;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;Ausfallzeiten, SP-Neubau 1983
340;Arendsee See-P.Schrampe;Arendsee;Landgraben, Grenzgraben, Jeetze, Elbe;Jeetze (Jeetzel);5934;3134;5862200;4463320;;0,0;;;29,8;;22,61;;597500;597400;597570;G;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
341;Arendsee Auslauf;Jeetze;Elbe;Jeetze (Jeetzel);;3134;5862200;4463310;;0,0;;;;;;;597510;;;;;;;;;;;;;;;;;;;;;;
342;Arendsee Auslauf;Arendsee;Landgraben, Grenzgraben, Jeetze, Elbe;Jeetze (Jeetzel);5934;3134;5862200;4463310;;0,0;;;29,8;;21,83;;597570;597500;440002;S;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
343;Deichsiel Dornburg;Elbe;Elbe;Mittlere Elbe bis Havel;539;3937;5767227;4491916;GKS;;;15147080;;;48,82;;;;;V;;;WZ;;;;;;;;5;;OrB;;;LHW;FB WB;;
