  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 20.96000000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
    9.4710       1.9140          38.7790       14.2500     1.390190    -0.3877900D+02    -0.1425000D+02    -0.1390190D+01
    9.4770       1.9200          39.3910       14.5000     1.388640    -0.3939100D+02    -0.1450000D+02    -0.1388640D+01
    8.6290       1.0720           5.7000       14.7500     1.001060    -0.5700000D+01    -0.1475000D+02    -0.1001060D+01
    8.6360       1.0790           5.7630       15.0000     1.002150    -0.5763000D+01    -0.1500000D+02    -0.1002150D+01
  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 20.97000000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
  --**.********-------**.********----**.********-------**.********-------**.********-------**.********----  ---**.********- -----**.********
    8.0950       0.4190           1.7140        0.5000     1.000000    -0.2515103D-01    -0.9869856D-02     0.1555345D-03
    8.1610       0.4850           2.2210        0.7500     1.000000     0.9210930D-02    -0.1105568D-01     0.9051063D-05
    8.2170       0.5410           2.6790        1.0000     1.000000     0.2313297D-01     0.4541781D-03    -0.5898363D-04
    8.2660       0.5900           3.1050        1.2500     1.000000     0.1796309D-01     0.1441414D-01    -0.8606573D-04
    8.3090       0.6330           3.4910        1.5000     1.000000     0.6365886D-02     0.2129566D-01    -0.9083219D-04
    8.3470       0.6710           3.8270        1.7500     1.000000     0.4588648D-02     0.1679191D-01    -0.8394298D-04
    8.3820       0.7060           4.1450        2.0000     1.000000    -0.3213747D-02     0.7432099D-02    -0.7085610D-04
    8.4160       0.7400           4.4490        2.2500     1.000000    -0.4046298D-02     0.3869473D-02    -0.5385321D-04
    8.4480       0.7720           4.7410        2.5000     1.000000    -0.9328090D-02    -0.3322685D-02    -0.3544970D-04
    8.4790       0.8030           5.0230        2.7500     1.000000    -0.1250978D-01    -0.8515867D-02    -0.1656958D-04
    8.5100       0.8340           5.2970        3.0000     1.000000    -0.6843108D-02    -0.4697297D-02     0.2351048D-05
    8.5390       0.8630           5.5630        3.2500     1.000000    -0.1060965D-01    -0.9451296D-02     0.1931685D-04
    8.5680       0.8920           5.8210        3.5000     1.000000    -0.5924798D-02    -0.6984932D-02     0.3493719D-04
    8.5960       0.9200           6.0740        3.7500     1.000000    -0.4985985D-02    -0.6656346D-02     0.4824242D-04
    8.6230       0.9470           6.3200        4.0000     1.000000    -0.5922664D-02    -0.9403474D-02     0.5903822D-04
    8.6500       0.9740           6.5620        4.2500     1.000000    -0.2753174D-02    -0.6618761D-02     0.6754001D-04
