       Stat Kenn   Abfluss     Sohle     h_WSP       hen      h_BV    Boe_li    Boe_re     v_m  tau_fl      Q_li      Q_fl      Q_re lamb_li lamb_fl lamb_re      f_li      f_fl      f_re     br_li     br_fl     br_re    WehrOK  BrueckOK  BrueckUK   BrueckB    RohrDN   AlphaIW   AlphaEW    I_Reib
         km    -     m^3/s       mNN       mNN       mNN       mNN       mNN       mNN     m/s   N/m^2     m^3/s     m^3/s     m^3/s       -       -       -       m^2       m^2         m         m         m         m       mNN       mNN       mNN         m         m         -         -         -
    43.1000    n     1.000   360.163   361.064   361.065   362.722   365.927   362.722   0.129    0.26     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     7.772     0.000     0.000    26.865     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    43.2000    n     1.000   360.092   360.815   360.816   365.676   365.908   365.676   0.134    0.28     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     7.441     0.000     0.000    25.654     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    43.3000    n     1.000   360.315   360.695   360.696   364.794   364.794   366.061   0.151    0.33     0.000     1.000     0.000  0.0000  0.1164  0.0000     0.000     6.604     0.000     0.000    19.250     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    43.4000    n     1.000   360.139   360.673   360.674   362.644   362.644   365.648   0.150    0.33     0.000     1.000     0.000  0.0000  0.1185  0.0000     0.000     6.658     0.000     0.000    19.429     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    43.5000    n     1.000   359.987   360.695   360.696   364.756   364.920   364.756   0.160    0.36     0.000     1.000     0.000  0.0000  0.1113  0.0000     0.000     6.248     0.000     0.000    17.117     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    43.6000    n     1.000   360.316   360.855   360.856   363.932   365.526   363.932   0.151    0.33     0.000     1.000     0.000  0.0000  0.1165  0.0000     0.000     6.622     0.000     0.000    19.421     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    43.7000    n     1.000   360.127   360.667   360.668   362.827   365.096   362.827   0.147    0.32     0.000     1.000     0.000  0.0000  0.1184  0.0000     0.000     6.788     0.000     0.000    20.582     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    43.8000    n     1.000   359.853   360.324   360.325   364.904   365.014   364.904   0.153    0.36     0.000     1.000     0.000  0.0000  0.1216  0.0000     0.000     6.537     0.000     0.000    17.900     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    43.9000    n     1.000   359.755   360.373   360.374   364.232   365.606   364.232   0.170    0.43     0.000     1.000     0.000  0.0000  0.1181  0.0000     0.000     5.877     0.000     0.000    13.311     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    43.9820    n     1.000   359.869   360.440   360.442   362.171   366.234   362.171   0.161    0.37     0.000     1.000     0.000  0.0000  0.1135  0.0000     0.000     6.193     0.000     0.000    16.303     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    44.0000    n     1.000   359.921   360.477   360.479   362.707   365.569   362.707   0.161    0.36     0.000     1.000     0.000  0.0000  0.1123  0.0000     0.000     6.226     0.000     0.000    16.751     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
