       Stat Kenn     Sohle     h_WSP       hen      h_BV    Boe_li    Boe_re     v_m  tau_fl lamb_li lamb_fl lamb_re      f_li      f_fl      f_re     br_li     br_fl     br_re    WehrOK  BrueckOK  BrueckUK   BrueckB    RohrDN
         km    -       mNN       mNN       mNN       mNN       mNN       mNN     m/s   N/m^2       -       -       -       m^2       m^2         m         m         m         m       mNN       mNN       mNN         m         m
    60.0000    n     2.470     4.044     4.052     5.890     6.240     5.890   0.396    1.31  0.0000  0.0666  0.0000     0.000     7.899     0.000     0.000     7.683     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    60.0560    n     3.100     4.054     4.064     5.660     5.660     6.180   0.425    1.82  0.0000  0.0800  0.0000     0.000     7.357     0.000     0.000    10.070     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    60.1000    n     3.140     4.068     4.079     5.580     6.040     5.580   0.475    2.44  0.0000  0.0862  0.0000     0.000     6.589     0.000     0.000    10.274     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    60.1520    n     3.090     4.088     4.095     5.740     5.740     6.130   0.370    1.33  0.0000  0.0777  0.0000     0.000     8.455     0.000     0.000    10.835     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    60.2000    n     3.130     4.097     4.104     6.010     6.160     6.010   0.384    1.45  0.0000  0.0787  0.0000     0.000     8.160     0.000     0.000    10.774     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    60.3000    n     3.120     4.142     4.160     5.900     6.330     5.900   0.585    4.08  0.0000  0.0952  0.0000     0.000     5.347     0.000     0.000     9.987     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    60.4000    n     3.220     4.225     4.243     5.760     6.550     5.760   0.602    4.34  0.0000  0.0956  0.0000     0.000     5.197     0.000     0.000     9.789     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    60.4510    n     3.540     4.268     4.282     5.650     5.650     5.750   0.512    3.52  0.0000  0.1070  0.0000     0.000     6.113     0.000     0.000    11.019     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    60.5210    n     3.350     4.310     4.322     7.670     7.710     7.670   0.501    2.83  0.0000  0.0903  0.0000     0.000     6.253     0.000     0.000    10.603     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    60.5280    n     3.430     4.318     4.325     5.450     5.800     5.450   0.374    1.39  0.0000  0.0794  0.0000     0.000     8.358     0.000     0.000    11.055     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    60.6000    n     3.120     4.333     4.340     5.810     6.190     5.810   0.378    1.55  0.0000  0.0864  0.0000     0.000     8.274     0.000     0.000    11.532     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
