       Stat Kenn     Sohle     h_WSP       hen      h_BV    Boe_li    Boe_re     v_m  tau_fl lamb_li lamb_fl lamb_re      f_li      f_fl      f_re     br_li     br_fl     br_re    WehrOK  BrueckOK  BrueckUK   BrueckB    RohrDN
         km    -       mNN       mNN       mNN       mNN       mNN       mNN     m/s   N/m^2       -       -       -       m^2       m^2         m         m         m         m       mNN       mNN       mNN         m         m
    67.9000    n     8.950     9.645     9.652    10.850    10.850    11.040   0.360    1.79  0.0000  0.1107  0.0000     0.000     2.973     0.000     0.000     6.951     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    68.0000    n     8.870     9.680     9.684    10.680    10.680    10.820   0.294    0.99  0.0000  0.0918  0.0000     0.000     3.641     0.000     0.000     6.592     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    68.1000    n     9.170     9.726     9.735    10.650    10.650    10.950   0.427    2.76  0.0000  0.1199  0.0000     0.000     2.505     0.000     0.000     6.866     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    68.2000    n     8.580     9.778     9.781    10.830    10.830    11.360   0.243    0.72  0.0000  0.0977  0.0000     0.000     4.404     0.000     0.000     6.842     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    68.2360    w     9.490    10.256    10.257    10.080    10.080    10.080   0.162    0.31  0.1068  0.0943  0.1081     0.016     6.553     0.019     0.180     9.530     0.218    10.080  -999.999  -999.999  -999.999  -999.999
    68.2480    n     9.460    10.256    10.260    11.120    11.120    11.470   0.285    1.10  0.0000  0.1083  0.0000     0.000     3.754     0.000     0.000     6.576     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    68.3000    n     9.270    10.265    10.268    11.600    12.150    11.600   0.211    0.52  0.0000  0.0923  0.0000     0.000     5.062     0.000     0.000     7.187     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    68.3440    n     9.480    10.270    10.274    11.417    11.417    11.620   0.264    0.86  0.0000  0.0979  0.0000     0.000     4.048     0.000     0.000     7.801     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    68.4000    n     9.460    10.282    10.286    11.760    11.840    11.760   0.288    1.18  0.0000  0.1130  0.0000     0.000     3.716     0.000     0.000     7.196     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    68.4500    n     9.620    10.295    10.299    11.460    11.460    11.470   0.303    1.25  0.0000  0.1091  0.0000     0.000     3.534     0.000     0.000     7.782     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    68.5000    n     9.350    10.306    10.309    11.480    11.480    11.700   0.232    0.62  0.0000  0.0917  0.0000     0.000     4.603     0.000     0.000     6.756     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    68.5490    n     9.380    10.311    10.314    11.490    11.490    11.880   0.230    0.62  0.0000  0.0932  0.0000     0.000     4.655     0.000     0.000     6.953     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    68.6000    n     9.310    10.317    10.321    11.280    11.280    11.690   0.271    0.94  0.0000  0.1020  0.0000     0.000     3.951     0.000     0.000     6.156     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    68.6510    n     9.470    10.325    10.329    11.620    11.620    11.750   0.267    0.92  0.0000  0.1026  0.0000     0.000     4.008     0.000     0.000     6.608     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    68.7000    n     9.690    10.342    10.350    11.840    12.000    11.840   0.401    2.35  0.0000  0.1164  0.0000     0.000     2.665     0.000     0.000     6.635     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    68.7480    n     9.400    10.365    10.369    11.540    11.540    11.709   0.279    0.88  0.0000  0.0907  0.0000     0.000     3.834     0.000     0.000     6.358     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    68.8000    n     9.310    10.374    10.378    12.380    12.380    12.380   0.282    1.00  0.0000  0.0998  0.0000     0.000     3.797     0.000     0.000     6.154     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    68.8460    n     9.640    10.383    10.388    11.320    11.770    11.320   0.317    1.24  0.0000  0.0986  0.0000     0.000     3.374     0.000     0.000     6.571     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    68.9000    n     9.710    10.398    10.403    11.620    11.620    11.880   0.320    1.36  0.0000  0.1063  0.0000     0.000     3.348     0.000     0.000     6.779     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    68.9510    n     9.630    10.414    10.420    11.900    11.900    12.170   0.356    1.71  0.0000  0.1074  0.0000     0.000     3.002     0.000     0.000     6.088     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    69.0000    n     9.960    10.482    10.506    12.090    12.090    12.380   0.686    7.74  0.0000  0.1316  0.0000     0.000     1.560     0.000     0.000     5.223     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    69.0420    n    10.380    10.681    10.720    12.770    12.770    12.910   0.873   13.07  0.0000  0.1373  0.0000     0.000     1.226     0.000     0.000     6.241     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    69.0660    n    10.000    10.800    10.806    12.440    12.440    12.760   0.354    1.56  0.0000  0.0996  0.0000     0.000     3.024     0.000     0.000     6.161     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
